Carol Miller,Republican,House,WV,Pfizer Inc,PFE:US,18 Apr,3 Mar 2023,45,Undisclosed,BUY,1K–15K,41.15,20003762310
Deborah Ross,Democrat,House,NC,Microsoft Corp,MSFT:US,17 Apr,10 Apr 2023,4,Joint,SELL,1K–15K,289.39,20003762307
Daniel S. Goldman,Democrat,House,NY,3M Co,MMM:US,17 Apr,6 Mar 2023,42,Undisclosed,BUY,1K–15K,109.93,20003762034
Daniel S. Goldman,Democrat,House,NY,Abbott Laboratories,ABT:US,17 Apr,6 Mar 2023,42,Undisclosed,SELL,50K–100K,102.75,20003762035
Daniel S. Goldman,Democrat,House,NY,AbbVie Inc,ABBV:US,17 Apr,7 Mar 2023,41,Undisclosed,BUY,1K–15K,152.93,20003762036
Daniel S. Goldman,Democrat,House,NY,Activision Blizzard Inc,ATVI:US,17 Apr,6 Mar 2023,42,Undisclosed,BUY,1K–15K,79.63,20003762037
Daniel S. Goldman,Democrat,House,NY,Adidas AG,ADDYY:US,17 Apr,31 Mar 2023,17,Undisclosed,BUY,1K–15K,88.426,20003762038
Daniel S. Goldman,Democrat,House,NY,Adyen N.V,ADYEY:US,17 Apr,31 Mar 2023,17,Undisclosed,BUY,15K–50K,15.854,20003762039
Daniel S. Goldman,Democrat,House,NY,Aegon NV,AEG:US,17 Apr,31 Mar 2023,17,Undisclosed,BUY,15K–50K,4.3,20003762040
Daniel S. Goldman,Democrat,House,NY,AGNC Investment Corp,AGNC:US,17 Apr,1 Mar 2023,47,Undisclosed,SELL,1K–15K,10.59,20003762041
Daniel S. Goldman,Democrat,House,NY,Alexandria Real Estate Equities Inc,ARE:US,17 Apr,6 Mar 2023,42,Undisclosed,BUY,50K–100K,145.62,20003762042
Daniel S. Goldman,Democrat,House,NY,Allianz SE,ALIZY:US,17 Apr,31 Mar 2023,17,Undisclosed,BUY,1K–15K,23.12,20003762043
