Kathy Manning,Democrat,House,NC,Ecolab Inc,ECL:US,12 Apr,31 Mar 2023,11,Spouse,SELL,15K–50K,165.53,20003761564
Seth Moulton,Democrat,House,MA,Activision Blizzard Inc,ATVI:US,12 Apr,14 Mar 2023,28,Spouse,SELL,50K–100K,79.09,20003761565
Ro Khanna,Democrat,House,CA,Gartner Inc,IT:US,12 Apr,6 Mar 2023,32,Child,BUY,1K–15K,341.42,20003761566
Ro Khanna,Democrat,House,CA,Alphabet Inc,GOOGL:US,12 Apr,6 Mar 2023,32,Child,SELL,1K–15K,95.13,20003761567
Ro Khanna,Democrat,House,CA,Wells Fargo & Co,WFC:US,12 Apr,6 Mar 2023,32,Child,BUY,100K–250K,19.56,20003761568
Ro Khanna,Democrat,House,CA,Gartner Inc,IT:US,12 Apr,22 Mar 2023,16,Child,BUY,1K–15K,312.1,20003761569
Ro Khanna,Democrat,House,CA,Block Inc,SQ:US,12 Apr,22 Mar 2023,16,Child,BUY,1K–15K,72.65,20003761570
Ro Khanna,Democrat,House,CA,American Tower Corp,AMT:US,12 Apr,24 Mar 2023,14,Child,BUY,1K–15K,199.62,20003761571
Ro Khanna,Democrat,House,CA,Fortive Corp,FTV:US,12 Apr,30 Mar 2023,8,Child,BUY,1K–15K,67.34,20003761572
Ro Khanna,Democrat,House,CA,Cadence Design Systems Inc,CDNS:US,12 Apr,30 Mar 2023,8,Child,SELL,1K–15K,207.01,20003761573
Ro Khanna,Democrat,House,CA,The Allstate Corporation,ALL:US,12 Apr,7 Mar 2023,31,Child,BUY,1K–15K,124.58,20003761574
Ro Khanna,Democrat,House,CA,JPMorgan Chase & Co,JPM:US,12 Apr,3 Mar 2023,35,Child,BUY,1K–15K,143.66,20003761575
