Debbie Dingell,Democrat,House,MI,ARES CAPITAL CORPORATION,ARCC:US,9 Mar,3 Mar 2023,5,Undisclosed,BUY,15K–50K,N/A,20003760760
Scott Franklin,Republican,House,FL,Apple Inc,AAPL:US,8 Mar,15 Feb 2023,20,Joint,SELL,15K–50K,155.33,20003760204
Scott Franklin,Republican,House,FL,Berkshire Hathaway Inc,BRK/B:US,8 Mar,21 Feb 2023,14,Joint,SELL,15K–50K,302.72,20003760205
Scott Franklin,Republican,House,FL,Berkshire Hathaway Inc,BRK/B:US,8 Mar,15 Feb 2023,20,Joint,SELL,50K–100K,309.63,20003760206
Scott Franklin,Republican,House,FL,Cisco Systems Inc,CSCO:US,8 Mar,15 Feb 2023,20,Joint,SELL,15K–50K,48.45,20003760207
Scott Franklin,Republican,House,FL,Comcast Corp,CMCSA:US,8 Mar,15 Feb 2023,20,Joint,SELL,50K–100K,39.42,20003760208
Scott Franklin,Republican,House,FL,Invesco QQQ Trust Series 1,QQQ:US,8 Mar,15 Feb 2023,20,Joint,SELL,50K–100K,309.1,20003760209
Scott Franklin,Republican,House,FL,Invesco QQQ Trust Series 1,QQQ:US,8 Mar,21 Feb 2023,14,Joint,SELL,1K–15K,294.03,20003760210
Scott Franklin,Republican,House,FL,iShares Core S&P Small-Cap ETF,IJR:US,8 Mar,15 Feb 2023,20,Joint,SELL,50K–100K,105.62,20003760211
Scott Franklin,Republican,House,FL,JPMorgan Chase & Co,JPM:US,8 Mar,15 Feb 2023,20,Joint,SELL,50K–100K,143.8,20003760212
Scott Franklin,Republican,House,FL,Medtronic PLC,MDT:US,8 Mar,15 Feb 2023,20,Joint,SELL,50K–100K,84.49,20003760213
Scott Franklin,Republican,House,FL,Microsoft Corp,MSFT:US,8 Mar,15 Feb 2023,20,Joint,SELL,15K–50K,269.32,20003760214
