Nanette Barragán,Democrat,House,CA,US TREASURY BOND,N/A,25 Apr,8 Nov 2023,169,Undisclosed,BUY,15K–50K,N/A,20003772719
Jonathan Jackson,Democrat,House,IL,Analog Devices Inc,ADI:US,25 Apr,13 Mar 2024,42,Joint,SELL,15K–50K,198.6,20003772720
Jonathan Jackson,Democrat,House,IL,Apple Inc,AAPL:US,25 Apr,13 Mar 2024,42,Joint,SELL,15K–50K,171.13,20003772721
Jonathan Jackson,Democrat,House,IL,Applied Materials Inc,AMAT:US,25 Apr,13 Mar 2024,42,Joint,BUY,50K–100K,200.56,20003772722
Jonathan Jackson,Democrat,House,IL,ASML Holding NV,ASML:US,25 Apr,13 Mar 2024,42,Joint,BUY,15K–50K,968.78,20003772723
Jonathan Jackson,Democrat,House,IL,Intel Corp,INTC:US,25 Apr,13 Mar 2024,42,Joint,SELL,15K–50K,43.23,20003772724
Sheldon Whitehouse,Democrat,Senate,RI,Unilever PLC,UL:US,24 Apr,22 Mar 2024,33,Self,SELL,1K–15K,49.99,10000062278
Sheldon Whitehouse,Democrat,Senate,RI,Comcast Corp,CMCSA:US,24 Apr,13 Mar 2024,42,Self,SELL,15K–50K,43.28,10000062279
Ted Cruz,Republican,Senate,TX,The Goldman Sachs Group Inc,GS:US,24 Apr,15 Apr 2024,9,Spouse,SELL,250K–500K,400.88,10000062277
Scott Franklin,Republican,House,FL,Brp Group Inc,BRP:US,24 Apr,21 Mar 2024,33,Joint,SELL,1M–5M,30.04,20003772715
Scott Franklin,Republican,House,FL,Brp Group Inc,BRP:US,24 Apr,9 Apr 2024,14,Joint,SELL,1K–15K,29.0,20003772716
Michael McCaul,Republican,House,TX,EAGLE CAPITAL SEL EQUITY ETF,EAGL:US,23 Apr,25 Mar 2024,28,Spouse,BUY,500K–1M,25.102,20003772508
