Richard Blumenthal,Democrat,Senate,CT,Microsoft Corp,MSFT:US,5 Feb,29 Dec 2023,38,Self,SELL,500K–1M,376.04,10000062077
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Feb,18 Jan 2024,15,Spouse,SELL,15K–50K,N/A,10000062056
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Feb,18 Jan 2024,15,Spouse,SELL,15K–50K,N/A,10000062057
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Feb,18 Jan 2024,15,Spouse,SELL,15K–50K,N/A,10000062058
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Feb,17 Jan 2024,16,Spouse,BUY,15K–50K,N/A,10000062059
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Feb,17 Jan 2024,16,Spouse,BUY,15K–50K,N/A,10000062060
Tom Carper,Democrat,Senate,DE,Goldman Sachs AccessTreasury 0-1 Year ETF,GBIL:US,2 Feb,17 Jan 2024,16,Spouse,BUY,1K–15K,99.96,10000062061
Tom Carper,Democrat,Senate,DE,Broadcom Inc,AVGO:US,2 Feb,16 Jan 2024,17,Spouse,SELL,1K–15K,N/A,10000062062
Tom Carper,Democrat,Senate,DE,The AES Corp,AES:US,2 Feb,17 Jan 2024,16,Spouse,BUY,1K–15K,17.4,10000062063
Tom Carper,Democrat,Senate,DE,TotalEnergies SE,TTE:US,2 Feb,17 Jan 2024,16,Spouse,SELL,1K–15K,63.18,10000062064
Tom Carper,Democrat,Senate,DE,Starbucks Corp,SBUX:US,2 Feb,17 Jan 2024,16,Spouse,BUY,1K–15K,91.77,10000062065
Tom Carper,Democrat,Senate,DE,Valero Energy Corp,VLO:US,2 Feb,17 Jan 2024,16,Spouse,BUY,1K–15K,126.31,10000062066
