Scott Peters,Democrat,House,CA,MULTI-PACK SOLUTIONS LLC,N/A,13 Feb,3 Jan 2023,41,Spouse,SELL,100K–250K,N/A,20003758957
Chris Coons,Democrat,Senate,DE,W L GORE & ASSOCIATES INC,N/A,10 Feb,3 Feb 2023,7,Self,SELL,100K–250K,N/A,10000060647
Chris Coons,Democrat,Senate,DE,W L GORE & ASSOCIATES INC,N/A,10 Feb,31 Jan 2023,10,Self,SELL,100K–250K,N/A,10000060648
Shri Thanedar,Democrat,House,MI,American Express Co,AXP:US,10 Feb,23 Jan 2023,17,Undisclosed,SELL,1K–15K,154.0,20003758918
Shri Thanedar,Democrat,House,MI,American Express Co,AXP:US,10 Feb,23 Jan 2023,17,Undisclosed,SELL,1K–15K,154.0,20003758919
Shri Thanedar,Democrat,House,MI,American Express Co,AXP:US,10 Feb,23 Jan 2023,17,Undisclosed,SELL,50K–100K,154.0,20003758920
Shri Thanedar,Democrat,House,MI,Apollo Global Management Inc,APO:US,10 Feb,23 Jan 2023,17,Undisclosed,SELL,1K–15K,68.84,20003758921
Shri Thanedar,Democrat,House,MI,Apollo Global Management Inc,APO:US,10 Feb,23 Jan 2023,17,Undisclosed,SELL,1K–15K,68.84,20003758922
Shri Thanedar,Democrat,House,MI,Apollo Global Management Inc,APO:US,10 Feb,23 Jan 2023,17,Undisclosed,SELL,100K–250K,68.84,20003758923
Shri Thanedar,Democrat,House,MI,Biogen Inc,BIIB:US,10 Feb,23 Jan 2023,17,Undisclosed,SELL,15K–50K,291.93,20003758924
Shri Thanedar,Democrat,House,MI,Blackstone Group Inc,BX:US,10 Feb,23 Jan 2023,17,Undisclosed,SELL,50K–100K,87.83,20003758925
Shri Thanedar,Democrat,House,MI,COHERUS BIOSCIENCES INC,CHRS:US,10 Feb,23 Jan 2023,17,Undisclosed,SELL,15K–50K,9.18,20003758926
