Pete Sessions,Republican,House,TX,US TREASURY BILLS,N/A,18 Jan,17 Jan 2023,0,Spouse,BUY,15K–50K,N/A,20003758523
Debbie Lesko,Republican,House,AZ,I BONDS,N/A,16 Jan,3 Jan 2023,10,Spouse,BUY,1K–15K,N/A,20003758519
Maria Elvira Salazar,Republican,House,FL,US TREASURY BILLS,N/A,16 Jan,15 Dec 2022,31,Undisclosed,SELL,15K–50K,N/A,20003758520
Maria Elvira Salazar,Republican,House,FL,US TREASURY BILLS,N/A,16 Jan,22 Dec 2022,24,Undisclosed,BUY,15K–50K,N/A,20003758521
Kevin Hern,Republican,House,OK,Adobe Inc,ADBE:US,16 Jan,19 Dec 2022,25,Joint,SELL,250K–500K,328.76,20003758494
Kevin Hern,Republican,House,OK,ArcBest Corp,ARCB:US,16 Jan,19 Dec 2022,25,Joint,SELL,50K–100K,72.97,20003758495
Kevin Hern,Republican,House,OK,BALL CORPORATION,BALL:US,16 Jan,19 Dec 2022,25,Joint,SELL,50K–100K,50.61,20003758496
Kevin Hern,Republican,House,OK,CareCloud Inc,MTBC:US,16 Jan,19 Dec 2022,25,Joint,SELL,1K–15K,3.21,20003758497
Kevin Hern,Republican,House,OK,Devon Energy Corp,DVN:US,16 Jan,30 Dec 2022,14,Joint,BUY,1K–15K,61.51,20003758498
Kevin Hern,Republican,House,OK,Devon Energy Corp,DVN:US,16 Jan,30 Dec 2022,14,Joint,BUY,15K–50K,61.51,20003758499
Kevin Hern,Republican,House,OK,Ecolab Inc,ECL:US,16 Jan,19 Dec 2022,25,Joint,SELL,15K–50K,141.21,20003758500
Kevin Hern,Republican,House,OK,Emerson Electric Co,EMR:US,16 Jan,9 Dec 2022,35,Joint,BUY,1K–15K,94.19,20003758501
