John Rose,Republican,House,TN,Continental Resources Inc,CLR:US,2 Jan,29 Nov 2022,31,Undisclosed,SELL,15K–50K,74.27,20003758352
Sheldon Whitehouse,Democrat,Senate,RI,Citigroup Inc,C:US,30 Dec,29 Nov 2022,31,Spouse,SELL,1K–15K,47.57,10000060562
Sheldon Whitehouse,Democrat,Senate,RI,Citigroup Inc,C:US,30 Dec,29 Nov 2022,31,Self,SELL,1K–15K,47.57,10000060563
Susie Lee,Democrat,House,NV,Acadia Healthcare Co Inc,ACHC:US,30 Dec,30 Nov 2022,29,Joint,SELL,1K–15K,89.06,20003758285
Susie Lee,Democrat,House,NV,AdaptHealth Corp,AHCO:US,30 Dec,30 Nov 2022,29,Joint,SELL,1K–15K,22.31,20003758286
Susie Lee,Democrat,House,NV,Ally Financial Inc,ALLY:US,30 Dec,30 Nov 2022,29,Joint,SELL,1K–15K,27.01,20003758287
Susie Lee,Democrat,House,NV,American Water Works Company Inc,AWK:US,30 Dec,30 Nov 2022,29,Joint,SELL,1K–15K,151.76,20003758288
Susie Lee,Democrat,House,NV,AMETEK Inc,AME:US,30 Dec,30 Nov 2022,29,Joint,SELL,1K–15K,142.42,20003758289
Susie Lee,Democrat,House,NV,Aptiv PLC,APTV:US,30 Dec,30 Nov 2022,29,Joint,SELL,1K–15K,106.67,20003758290
Susie Lee,Democrat,House,NV,Avantor Inc,AVTR:US,30 Dec,30 Nov 2022,29,Joint,SELL,1K–15K,22.28,20003758291
Susie Lee,Democrat,House,NV,BALL CORPORATION,BALL:US,30 Dec,30 Nov 2022,29,Joint,SELL,1K–15K,56.08,20003758292
Susie Lee,Democrat,House,NV,Bath & Body Works Inc,BBWI:US,30 Dec,30 Nov 2022,29,Joint,SELL,1K–15K,42.5,20003758293
