Bob Gibbs,Republican,House,OH,Medtronic PLC,MDT:US,23 Dec,21 Dec 2022,1,Undisclosed,SELL,15K–50K,77.16,20003758021
John Hickenlooper,Democrat,Senate,CO,Formula One Group - The Liberty Media Group,FWONK:US,22 Dec,14 Dec 2022,8,Spouse,BUY,50K–100K,60.45,10000060546
John Hickenlooper,Democrat,Senate,CO,Liberty Media Corp SiriusXM Group,LSXMA:US,22 Dec,5 Dec 2022,17,Spouse,SELL,250K–500K,42.35,10000060547
John Hickenlooper,Democrat,Senate,CO,Liberty Media Corp SiriusXM Group,LSXMA:US,22 Dec,5 Dec 2022,17,Spouse,BUY,100K–250K,42.35,10000060548
John Hickenlooper,Democrat,Senate,CO,Liberty Broadband Corp,LBRDA:US,22 Dec,29 Nov 2022,23,Spouse,SELL,50K–100K,89.43,10000060549
John Hickenlooper,Democrat,Senate,CO,Liberty Broadband Corp,LBRDA:US,22 Dec,29 Nov 2022,23,Spouse,BUY,50K–100K,89.43,10000060550
Victoria Spartz,Republican,House,IN,Simon Property Group Inc,SPG:US,22 Dec,28 Nov 2022,23,Spouse,BUY,15K–50K,115.76,20003758018
Alan Lowenthal,Democrat,House,CA,Activision Blizzard Inc,ATVI:US,22 Dec,12 Dec 2022,9,Joint,BUY,1K–15K,77.36,20003758013
Alan Lowenthal,Democrat,House,CA,Chart Industries Inc,GTLS:US,22 Dec,9 Dec 2022,12,Joint,BUY,1K–15K,117.2,20003758014
Alan Lowenthal,Democrat,House,CA,salesforce.com Inc,CRM:US,22 Dec,8 Dec 2022,13,Joint,SELL,1K–15K,130.13,20003758015
Tom O'Halleran,Democrat,House,AZ,US TREASURY BOND,N/A,22 Dec,31 Oct 2022,51,Undisclosed,BUY,1K–15K,N/A,20003758016
Tom O'Halleran,Democrat,House,AZ,US TREASURY BOND,N/A,22 Dec,28 Oct 2022,54,Spouse,BUY,1K–15K,N/A,20003758017
