Jerry Moran,Republican,Senate,KS,Alphabet Inc,GOOGL:US,17 Jan,14 Dec 2023,34,Self,SELL,1K–15K,133.2,10000061999
Mark Green,Republican,House,TN,Energy Transfer LP,ET:US,17 Jan,6 Dec 2023,42,Undisclosed,SELL,1K–15K,13.48,20003770304
Mark Green,Republican,House,TN,NGL Energy Partners LP,NGL:US,17 Jan,11 Jan 2024,6,Undisclosed,SELL,100K–250K,5.4,20003770305
Bill Keating,Democrat,House,MA,Boeing Co,BA:US,17 Jan,15 Sept 2023,123,Undisclosed,BUY,15K–50K,N/A,20003770306
Bill Keating,Democrat,House,MA,Simon Property Group Inc,SPG:US,17 Jan,13 Sept 2023,125,Undisclosed,SELL,15K–50K,N/A,20003770307
Bill Keating,Democrat,House,MA,US TREASURY BILLS,N/A,17 Jan,29 Dec 2023,18,Undisclosed,BUY,1K–15K,N/A,20003770308
Sean Casten,Democrat,House,IL,MYNO CARBON CORP,N/A,17 Jan,25 Jun 2021,935,Undisclosed,BUY,15K–50K,N/A,20003770296
Sean Casten,Democrat,House,IL,MYNO CARBON CORP,N/A,17 Jan,31 Aug 2021,868,Undisclosed,BUY,1K–15K,N/A,20003770297
Sean Casten,Democrat,House,IL,MYNO CARBON CORP,N/A,17 Jan,4 Apr 2023,287,Undisclosed,BUY,1K–15K,N/A,20003770298
Sean Casten,Democrat,House,IL,MYNO CARBON CORP,N/A,17 Jan,17 May 2023,244,Undisclosed,BUY,15K–50K,N/A,20003770299
Sean Casten,Democrat,House,IL,MYNO CARBON CORP,N/A,17 Jan,21 Mar 2022,666,Undisclosed,BUY,15K–50K,N/A,20003770300
Sean Casten,Democrat,House,IL,MYNO CARBON CORP,N/A,17 Jan,16 May 2022,610,Undisclosed,BUY,15K–50K,N/A,20003770301
