Virginia Foxx,Republican,House,NC,Takeda Pharmaceutical Co Ltd,TAK:US,7 Dec,1 Nov 2022,35,Joint,BUY,1K–15K,13.28,20003756636
Lloyd Doggett,Democrat,House,TX,The Procter & Gamble Co,PG:US,7 Dec,16 Nov 2022,20,Undisclosed,BUY,1K–15K,141.74,20003756626
Richard Blumenthal,Democrat,Senate,CT,ELCM2 LLC,N/A,5 Dec,25 Oct 2022,36,Spouse,BUY,500K–1M,N/A,10000060436
Richard Blumenthal,Democrat,Senate,CT,ELCM2 LLC,N/A,5 Dec,25 Oct 2022,36,Spouse,BUY,500K–1M,N/A,10000060437
Richard Blumenthal,Democrat,Senate,CT,ELCM2 LLC,N/A,5 Dec,25 Oct 2022,36,Spouse,BUY,500K–1M,N/A,10000060438
Richard Blumenthal,Democrat,Senate,CT,ELCM2 LLC,N/A,5 Dec,25 Oct 2022,36,Spouse,BUY,100K–250K,N/A,10000060439
Richard Blumenthal,Democrat,Senate,CT,ELCM2 LLC,N/A,5 Dec,25 Oct 2022,36,Spouse,BUY,500K–1M,N/A,10000060440
Richard Blumenthal,Democrat,Senate,CT,ELCM2 LLC,N/A,5 Dec,25 Oct 2022,36,Spouse,BUY,500K–1M,N/A,10000060441
Richard Blumenthal,Democrat,Senate,CT,ELCM2 LLC,N/A,5 Dec,25 Oct 2022,36,Spouse,BUY,500K–1M,N/A,10000060442
Richard Blumenthal,Democrat,Senate,CT,ELCM2 LLC,N/A,5 Dec,25 Oct 2022,36,Spouse,BUY,500K–1M,N/A,10000060443
Richard Blumenthal,Democrat,Senate,CT,ELCM2 LLC,N/A,5 Dec,25 Oct 2022,36,Spouse,BUY,500K–1M,N/A,10000060444
Richard Blumenthal,Democrat,Senate,CT,ELCM2 LLC,N/A,5 Dec,25 Oct 2022,36,Spouse,BUY,500K–1M,N/A,10000060445
