Diana Harshbarger,Republican,House,TN,WASHINGTON DC METRO AREA TRANS,N/A,1 Dec,10 Nov 2022,19,Spouse,SELL,15K–50K,N/A,20003756561
Diana Harshbarger,Republican,House,TN,Adobe Inc,ADBE:US,1 Dec,11 Nov 2022,18,Undisclosed,BUY,1K–15K,341.15,20003756562
Diana Harshbarger,Republican,House,TN,Adobe Inc,ADBE:US,1 Dec,11 Nov 2022,18,Joint,BUY,1K–15K,341.15,20003756563
Diana Harshbarger,Republican,House,TN,Adobe Inc,ADBE:US,1 Dec,11 Nov 2022,18,Undisclosed,BUY,1K–15K,341.15,20003756564
Diana Harshbarger,Republican,House,TN,Adobe Inc,ADBE:US,1 Dec,11 Nov 2022,18,Spouse,BUY,1K–15K,341.15,20003756565
Diana Harshbarger,Republican,House,TN,Comcast Corp,CMCSA:US,1 Dec,11 Nov 2022,18,Undisclosed,BUY,1K–15K,34.02,20003756566
Diana Harshbarger,Republican,House,TN,Comcast Corp,CMCSA:US,1 Dec,11 Nov 2022,18,Undisclosed,BUY,1K–15K,34.02,20003756567
Diana Harshbarger,Republican,House,TN,Comcast Corp,CMCSA:US,1 Dec,11 Nov 2022,18,Spouse,BUY,1K–15K,34.02,20003756568
Diana Harshbarger,Republican,House,TN,Comcast Corp,CMCSA:US,1 Dec,11 Nov 2022,18,Joint,BUY,1K–15K,34.02,20003756569
Diana Harshbarger,Republican,House,TN,Fidelity National Information Services Inc,FIS:US,1 Dec,11 Nov 2022,18,Undisclosed,BUY,1K–15K,65.4,20003756570
Diana Harshbarger,Republican,House,TN,Fidelity National Information Services Inc,FIS:US,1 Dec,11 Nov 2022,18,Undisclosed,BUY,1K–15K,65.4,20003756571
Diana Harshbarger,Republican,House,TN,Fidelity National Information Services Inc,FIS:US,1 Dec,11 Nov 2022,18,Joint,BUY,1K–15K,65.4,20003756572
