Laurel Lee,Republican,House,FL,Alibaba Group Holding Ltd,BABA:US,9 Jan,29 Dec 2023,6,Spouse,SELL,100K–250K,77.51,20003770240
Virginia Foxx,Republican,House,NC,CROSS TIMBERS ROYALTY TRUST,CRT:US,9 Jan,8 Dec 2023,27,Joint,BUY,1K–15K,18.5,20003770194
Virginia Foxx,Republican,House,NC,Duke Energy Corp,DUK:US,9 Jan,19 Dec 2023,16,Joint,BUY,1K–15K,24.6,20003770195
Virginia Foxx,Republican,House,NC,ELLINGTON FINANCIAL INC,EFC:US,9 Jan,14 Dec 2023,21,Joint,RECEIVE,15K–50K,20.3,20003770196
Virginia Foxx,Republican,House,NC,FLEX LNG LTD,FLNG:US,9 Jan,4 Dec 2023,31,Undisclosed,BUY,1K–15K,28.98,20003770197
Josh Gottheimer,Democrat,House,NJ,Advanced Micro Devices Inc,AMD:US,9 Jan,20 Dec 2023,18,Joint,SELL,1K–15K,135.47,20003770198
Josh Gottheimer,Democrat,House,NJ,Allegro Microsystems Inc,ALGM:US,9 Jan,11 Dec 2023,27,Joint,SELL,1K–15K,27.36,20003770199
Josh Gottheimer,Democrat,House,NJ,Alnylam Pharmaceuticals Inc,ALNY:US,9 Jan,11 Dec 2023,27,Joint,SELL,1K–15K,170.92,20003770200
Josh Gottheimer,Democrat,House,NJ,Alphabet Inc,GOOGL:US,9 Jan,1 Dec 2023,37,Joint,SELL,1K–15K,133.32,20003770201
Josh Gottheimer,Democrat,House,NJ,BioNTech SE,BNTX:US,9 Jan,6 Dec 2023,32,Joint,BUY,1K–15K,101.34,20003770202
Josh Gottheimer,Democrat,House,NJ,BioNTech SE,BNTX:US,9 Jan,5 Dec 2023,33,Joint,BUY,1K–15K,98.74,20003770203
Josh Gottheimer,Democrat,House,NJ,BioNTech SE,BNTX:US,9 Jan,7 Dec 2023,31,Joint,BUY,1K–15K,101.925,20003770204
