Dan Sullivan,Republican,Senate,AK,Five Below Inc,FIVE:US,3 Nov,30 Aug 2022,65,Joint,SELL,1K–15K,129.54,10000060312
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,3 Nov,17 Oct 2022,17,Spouse,BUY,15K–50K,N/A,10000060277
Tom Carper,Democrat,Senate,DE,BLACKROCK 2037 MUNICIPAL TARGET TERM TRUST,BMN:US,3 Nov,27 Oct 2022,7,Spouse,BUY,1K–15K,25.08,10000060278
Tom Carper,Democrat,Senate,DE,CATALYST MILLBURN HEDGE STRATEGY FUND,MBXIX:US,3 Nov,17 Oct 2022,17,Spouse,BUY,1K–15K,40.22,10000060279
Tom Carper,Democrat,Senate,DE,GOLDMAN SACHS SMALL MID CAP GROWTH FUND,GSMYX:US,3 Nov,17 Oct 2022,17,Spouse,SELL,1K–15K,18.53,10000060280
Tom Carper,Democrat,Senate,DE,CLEARBRIDGE SMALL CAP GROWTH FUND,SBPYX:US,3 Nov,17 Oct 2022,17,Spouse,BUY,1K–15K,34.75,10000060281
Tom Carper,Democrat,Senate,DE,FIDELITY ADVISOR FOCUSED EMERGING MARKETS FUND,FIMKX:US,3 Nov,17 Oct 2022,17,Spouse,SELL,1K–15K,23.97,10000060282
Tom Carper,Democrat,Senate,DE,FIDELITY ADVISOR INTERNATIONAL CAPITAL APPRECIATION FUND,FCPIX:US,3 Nov,17 Oct 2022,17,Spouse,SELL,1K–15K,21.1,10000060283
Tom Carper,Democrat,Senate,DE,Verizon Communications Inc,VZ:US,3 Nov,17 Oct 2022,17,Spouse,SELL,1K–15K,37.18,10000060284
Tom Carper,Democrat,Senate,DE,CVS Health Corp,CVS:US,3 Nov,17 Oct 2022,17,Spouse,BUY,1K–15K,90.89,10000060285
Tom Carper,Democrat,Senate,DE,Digital Realty Trust Inc,DLR:US,3 Nov,17 Oct 2022,17,Spouse,SELL,1K–15K,95.15,10000060286
Tom Carper,Democrat,Senate,DE,Taiwan Semiconductor Manufacturing Co Ltd,TSM:US,3 Nov,17 Oct 2022,17,Spouse,BUY,1K–15K,64.89,10000060287
