Ro Khanna,Democrat,House,CA,Southwest Airlines Co,LUV:US,12 Oct,8 Sept 2022,29,Spouse,BUY,1K–15K,37.66,20003755043
Scott Franklin,Republican,House,FL,Cisco Systems Inc,CSCO:US,12 Oct,13 Sept 2022,28,Undisclosed,BUY,15K–50K,44.11,20003753988
Scott Franklin,Republican,House,FL,Cisco Systems Inc,CSCO:US,12 Oct,13 Sept 2022,28,Undisclosed,BUY,1K–15K,44.11,20003753989
Scott Franklin,Republican,House,FL,FIDELITY ADVISOR TOTAL BOND FUND,FBKWX:US,12 Oct,8 Sept 2022,33,Undisclosed,SELL,100K–250K,9.6,20003753990
Scott Franklin,Republican,House,FL,FIDELITY ADVISOR TOTAL BOND FUND,FBKWX:US,12 Oct,8 Sept 2022,33,Undisclosed,SELL,15K–50K,9.6,20003753991
Scott Franklin,Republican,House,FL,FIDELITY ADVISOR TOTAL BOND FUND,FBKWX:US,12 Oct,9 Sept 2022,32,Spouse,SELL,1K–15K,9.61,20003753992
Scott Franklin,Republican,House,FL,FIDELITY CONTRAFUND,FCNTX:US,12 Oct,13 Sept 2022,28,Spouse,BUY,1K–15K,13.79,20003753993
Scott Franklin,Republican,House,FL,Fidelity Nasdaq Composite Index ETF,ONEQ:US,12 Oct,13 Sept 2022,28,Spouse,BUY,1K–15K,45.62,20003753994
Scott Franklin,Republican,House,FL,The Home Depot Inc,HD:US,12 Oct,9 Sept 2022,32,Undisclosed,BUY,1K–15K,299.77,20003753995
Scott Franklin,Republican,House,FL,The Home Depot Inc,HD:US,12 Oct,9 Sept 2022,32,Undisclosed,BUY,15K–50K,299.77,20003753996
Scott Franklin,Republican,House,FL,iShares S&P 500 Growth ETF,IVW:US,12 Oct,13 Sept 2022,28,Spouse,BUY,1K–15K,63.73,20003753997
Scott Franklin,Republican,House,FL,Lockheed Martin Corp,LMT:US,12 Oct,12 Sept 2022,29,Undisclosed,BUY,50K–100K,418.64,20003753998
