Pete Sessions,Republican,House,TX,Verizon Communications Inc,VZ:US,11 Oct,27 Sept 2022,13,Spouse,BUY,1K–15K,38.89,20003753987
John Rose,Republican,House,TN,TENNESSEE FARMERS LIFE INSURANCE CO,N/A,11 Oct,28 Sept 2022,13,Undisclosed,BUY,50K–100K,N/A,20003753985
Kevin Hern,Republican,House,OK,Devon Energy Corp,DVN:US,11 Oct,30 Sept 2022,10,Joint,BUY,1K–15K,60.13,20003753971
Kevin Hern,Republican,House,OK,Devon Energy Corp,DVN:US,11 Oct,30 Sept 2022,10,Joint,BUY,15K–50K,60.13,20003753972
Kevin Hern,Republican,House,OK,Emerson Electric Co,EMR:US,11 Oct,9 Sept 2022,31,Joint,BUY,1K–15K,84.71,20003753973
Kevin Hern,Republican,House,OK,Exxon Mobil Corp,XOM:US,11 Oct,9 Sept 2022,31,Joint,BUY,1K–15K,96.5,20003753974
Kevin Hern,Republican,House,OK,The Home Depot Inc,HD:US,11 Oct,15 Sept 2022,25,Joint,BUY,1K–15K,271.54,20003753975
Kevin Hern,Republican,House,OK,iShares Core Dividend Growth ETF,DGRO:US,11 Oct,30 Sept 2022,10,Joint,BUY,1K–15K,44.47,20003753976
Kevin Hern,Republican,House,OK,iShares Core Dividend Growth ETF,DGRO:US,11 Oct,30 Sept 2022,10,Joint,BUY,1K–15K,44.47,20003753977
Kevin Hern,Republican,House,OK,JPMORGAN EQUITY PREMIUM INCOME ETF,JEPI:US,11 Oct,7 Sept 2022,33,Joint,BUY,1K–15K,55.34,20003753978
Kevin Hern,Republican,House,OK,NextEra Energy Inc,NEE:US,11 Oct,15 Sept 2022,25,Joint,BUY,1K–15K,86.01,20003753979
Kevin Hern,Republican,House,OK,Pioneer Natural Resources Co,PXD:US,11 Oct,16 Sept 2022,24,Joint,BUY,15K–50K,239.5,20003753980
