Ro Khanna,Democrat,House,CA,JPMorgan Chase & Co,JPM:US,12 Aug,6 Jul 2022,34,Child,SELL,1K–15K,111.89,20003751884
Mike Kelly,Republican,House,PA,STATE OF MISSISSIPPI,N/A,12 Aug,13 Jul 2022,28,Joint,BUY,50K–100K,N/A,20003751431
Rob Wittman,Republican,House,VA,Abbott Laboratories,ABT:US,11 Aug,15 Jul 2022,26,Undisclosed,BUY,1K–15K,108.82,20003751427
Rob Wittman,Republican,House,VA,Baxter International Inc,BAX:US,11 Aug,15 Jul 2022,26,Undisclosed,BUY,1K–15K,64.91,20003751428
Rob Wittman,Republican,House,VA,Walmart Inc,WMT:US,11 Aug,15 Jul 2022,26,Undisclosed,BUY,1K–15K,129.07,20003751429
Kathy Manning,Democrat,House,NC,Abbott Laboratories,ABT:US,11 Aug,27 Jul 2022,14,Spouse,BUY,1K–15K,109.99,20003751228
Kathy Manning,Democrat,House,NC,Abbott Laboratories,ABT:US,11 Aug,27 Jul 2022,14,Undisclosed,BUY,1K–15K,109.99,20003751229
Kathy Manning,Democrat,House,NC,Abbott Laboratories,ABT:US,11 Aug,27 Jul 2022,14,Spouse,BUY,1K–15K,109.99,20003751230
Kathy Manning,Democrat,House,NC,Abbott Laboratories,ABT:US,11 Aug,15 Jul 2022,26,Spouse,BUY,1K–15K,108.82,20003751231
Kathy Manning,Democrat,House,NC,AbbVie Inc,ABBV:US,11 Aug,15 Jul 2022,26,Spouse,BUY,1K–15K,153.62,20003751232
Kathy Manning,Democrat,House,NC,AbbVie Inc,ABBV:US,11 Aug,27 Jul 2022,14,Spouse,BUY,1K–15K,151.15,20003751233
Kathy Manning,Democrat,House,NC,AbbVie Inc,ABBV:US,11 Aug,27 Jul 2022,14,Undisclosed,SELL,15K–50K,151.15,20003751234
