Michael San Nicolas,Democrat,House,GU,Shopify Inc,SHOP:US,25 Jul,3 Jun 2022,45,Undisclosed,BUY,250K–500K,353.66,20003750491
Maria Elvira Salazar,Republican,House,FL,7 HEAVEN FOR KIDS PPEC LLC,N/A,25 Jul,21 Jun 2022,31,Undisclosed,SELL,100K–250K,N/A,20003750492
Michael McCaul,Republican,House,TX,MASSACHUSETTS HEALTH AND EDUCATIONAL FACILITIES AUTHORITY,N/A,25 Jul,8 Jun 2022,42,Spouse,BUY,100K–250K,N/A,20003750621
Michael McCaul,Republican,House,TX,TRIBOROUGH BRIDGE AND TUNNEL AUTHORITY,N/A,25 Jul,22 Jun 2022,28,Spouse,BUY,100K–250K,N/A,20003750622
Michael McCaul,Republican,House,TX,BREVARD COUNTY HOUSING FINANCE AUTHORITY,N/A,25 Jul,8 Jun 2022,42,Spouse,BUY,50K–100K,N/A,20003750623
Michael McCaul,Republican,House,TX,MASSACHUSETTS HOUSING FINANCE AGENCY,N/A,25 Jul,8 Jun 2022,42,Spouse,BUY,50K–100K,N/A,20003750624
Michael McCaul,Republican,House,TX,ASML Holding NV,ASML:US,25 Jul,23 Jun 2022,27,Spouse,BUY,50K–100K,485.5,20003750625
Michael McCaul,Republican,House,TX,LyondellBasell Industries NV,LYB:US,25 Jul,2 Jun 2022,48,Spouse,BUY,50K–100K,115.25,20003750626
Michael McCaul,Republican,House,TX,Five Below Inc,FIVE:US,25 Jul,13 Jun 2022,37,Spouse,BUY,50K–100K,122.28,20003750627
Michael McCaul,Republican,House,TX,Accenture PLC,ACN:US,25 Jul,28 Jun 2022,22,Spouse,BUY,50K–100K,283.8,20003750628
Michael McCaul,Republican,House,TX,MOBILE COUNTY OF ALABAMA,N/A,25 Jul,23 Jun 2022,27,Spouse,BUY,50K–100K,N/A,20003750629
Michael McCaul,Republican,House,TX,MICHIGAN STATE TRUNKLINE HIGHWAY SYSTEM,N/A,25 Jul,23 Jun 2022,27,Spouse,BUY,15K–50K,N/A,20003750630
