Alan Lowenthal,Democrat,House,CA,Ecolab Inc,ECL:US,25 Jul,20 Jul 2022,5,Spouse,BUY,1K–15K,159.4,20003750482
Josh Gottheimer,Democrat,House,NJ,Apple Inc,AAPL:US,25 Jul,14 Jun 2022,38,Joint,SELL,1K–15K,132.76,20003750445
Josh Gottheimer,Democrat,House,NJ,ARCUTIS BIOTHERAPEUTICS INC,ARQT:US,25 Jul,15 Jun 2022,37,Joint,BUY,1K–15K,20.55,20003750446
Josh Gottheimer,Democrat,House,NJ,Avient Corp,AVNT:US,25 Jul,21 Jun 2022,31,Joint,SELL,1K–15K,41.08,20003750447
Josh Gottheimer,Democrat,House,NJ,Capital One Financial Corp,COF:US,25 Jul,14 Jun 2022,38,Joint,SELL,1K–15K,106.58,20003750448
Josh Gottheimer,Democrat,House,NJ,Daifuku Co Ltd,DFKCY:US,25 Jul,29 Jun 2022,23,Joint,BUY,1K–15K,14.45,20003750449
Josh Gottheimer,Democrat,House,NJ,Daifuku Co Ltd,DFKCY:US,25 Jul,30 Jun 2022,22,Joint,BUY,1K–15K,14.33,20003750450
Josh Gottheimer,Democrat,House,NJ,DEERE & COMPANY,DE:US,25 Jul,14 Jun 2022,38,Joint,SELL,1K–15K,326.58,20003750451
Josh Gottheimer,Democrat,House,NJ,Diageo PLC,DEO:US,25 Jul,29 Jun 2022,23,Joint,SELL,1K–15K,175.17,20003750452
Josh Gottheimer,Democrat,House,NJ,Diageo PLC,DEO:US,25 Jul,28 Jun 2022,24,Joint,SELL,1K–15K,179.32,20003750453
Josh Gottheimer,Democrat,House,NJ,Equifax Inc,EFX:US,25 Jul,14 Jun 2022,38,Joint,SELL,1K–15K,172.02,20003750454
Josh Gottheimer,Democrat,House,NJ,Fidelity National Information Services Inc,FIS:US,25 Jul,14 Jun 2022,38,Joint,SELL,1K–15K,95.25,20003750455
