Josh Gottheimer,Democrat,House,NJ,XP Inc,XP:US,25 Jul,14 Jun 2022,38,Joint,SELL,1K–15K,18.85,20003750480
Anthony Gonzalez,Republican,House,OH,Amazon.com Inc,AMZN:US,25 Jul,28 Jun 2022,25,Undisclosed,SELL,250K–500K,107.4,20003750444
Lois Frankel,Democrat,House,FL,American Express Co,AXP:US,25 Jul,22 Jun 2022,30,Undisclosed,BUY,1K–15K,144.39,20003750438
Lois Frankel,Democrat,House,FL,Comcast Corp,CMCSA:US,25 Jul,15 Jun 2022,37,Undisclosed,BUY,1K–15K,40.13,20003750439
Lois Frankel,Democrat,House,FL,Duke Energy Corp,DUK:US,25 Jul,22 Jun 2022,30,Undisclosed,SELL,1K–15K,100.16,20003750440
Lois Frankel,Democrat,House,FL,Hudson Pacific Properties Inc,HPP:US,25 Jul,15 Jul 2022,7,Undisclosed,SELL,1K–15K,14.15,20003750441
Lois Frankel,Democrat,House,FL,Stanley Black & Decker Inc,SWK:US,25 Jul,29 Jun 2022,23,Undisclosed,SELL,1K–15K,106.09,20003750442
Lois Frankel,Democrat,House,FL,Trane Technologies PLC,TT:US,25 Jul,13 Jul 2022,9,Undisclosed,SELL,1K–15K,127.61,20003750443
Peter Meijer,Republican,House,MI,DEERE & COMPANY,DE:US,22 Jul,27 Jun 2022,24,Undisclosed,SELL,1K–15K,315.33,20003750437
Bob Latta,Republican,House,OH,Farmers & Merchants Bancorp Inc,FMAO:US,22 Jul,12 Jul 2022,9,Spouse,BUY,1K–15K,32.32,20003750436
John Boozman,Republican,Senate,AR,DOUBLELINE EMERGING MARKETS FIXED INCOME FUND,DBLEX:US,20 Jul,22 Jun 2022,28,Undisclosed,SELL,1K–15K,8.77,10000060069
John Boozman,Republican,Senate,AR,FlexShares STOXX Global Broad Infrastructure Index Fund,NFRA:US,20 Jul,14 Jun 2022,36,Undisclosed,SELL,15K–50K,51.0,10000060070
