Shelley Moore Capito,Republican,Senate,WV,Microsoft Corp,MSFT:US,11 Dec,30 Nov 2023,11,Spouse,SELL,1K–15K,378.91,10000061792
Mike Kelly,Republican,House,PA,CLIFTON HIGHER EDUCATION FINANCE CORP,N/A,11 Dec,6 Nov 2023,34,Spouse,BUY,100K–250K,N/A,20003769836
Mike Kelly,Republican,House,PA,UNIVERSITY OF PITTSBURGH,N/A,11 Dec,7 Nov 2023,33,Spouse,BUY,50K–100K,N/A,20003769837
Josh Gottheimer,Democrat,House,NJ,AbbVie Inc,ABBV:US,11 Dec,8 Nov 2023,30,Joint,SELL,1K–15K,142.03,20003769803
Josh Gottheimer,Democrat,House,NJ,Adobe Inc,ADBE:US,11 Dec,8 Nov 2023,30,Joint,BUY,1K–15K,585.31,20003769804
Josh Gottheimer,Democrat,House,NJ,Alphabet Inc,GOOGL:US,11 Dec,29 Nov 2023,9,Joint,SELL,1K–15K,134.99,20003769805
Josh Gottheimer,Democrat,House,NJ,Alphabet Inc,GOOGL:US,11 Dec,10 Nov 2023,28,Joint,SELL,1K–15K,134.06,20003769806
Josh Gottheimer,Democrat,House,NJ,Arista Networks Inc,ANET:US,11 Dec,1 Nov 2023,37,Joint,BUY,1K–15K,210.84,20003769807
Josh Gottheimer,Democrat,House,NJ,ASML Holding NV,ASML:US,11 Dec,9 Nov 2023,29,Joint,SELL,1K–15K,634.26,20003769808
Josh Gottheimer,Democrat,House,NJ,AutoZone Inc,AZO:US,11 Dec,16 Nov 2023,22,Joint,SELL,1K–15K,"2,658.23",20003769809
Josh Gottheimer,Democrat,House,NJ,CELSIUS HOLDINGS INC,CELH:US,11 Dec,2 Nov 2023,36,Joint,BUY,1K–15K,162.01,20003769810
Josh Gottheimer,Democrat,House,NJ,CELSIUS HOLDINGS INC,CELH:US,11 Dec,20 Nov 2023,18,Joint,BUY,1K–15K,54.18,20003769811
