Trey Hollingsworth,Republican,House,IN,Owl Rock Capital Corp,ORCC:US,15 Jun,24 May 2022,17,Undisclosed,BUY,15K–50K,12.72,20003739618
Tom Cole,Republican,House,OK,Alliant Energy Corporation,LNT:US,15 Jun,25 May 2022,13,Spouse,SELL,15K–50K,61.25,20003739610
John Hickenlooper,Democrat,Senate,CO,Liberty Media Corp SiriusXM Group,LSXMA:US,13 Jun,12 Nov 2021,213,Spouse,BUY,100K–250K,55.01,10000059984
John Hickenlooper,Democrat,Senate,CO,Qurate Retail Inc,QRTEA:US,13 Jun,10 May 2021,399,Spouse,BUY,250K–500K,14.03,10000059985
John Hickenlooper,Democrat,Senate,CO,Liberty Media Corp SiriusXM Group,LSXMA:US,13 Jun,15 Mar 2021,455,Spouse,BUY,100K–250K,45.81,10000059986
John Hickenlooper,Democrat,Senate,CO,Liberty Broadband Corp,LBRDA:US,13 Jun,1 Sept 2021,285,Spouse,BUY,15K–50K,192.82,10000059987
John Hickenlooper,Democrat,Senate,CO,Liberty Broadband Corp,LBRDA:US,13 Jun,15 Mar 2021,455,Spouse,BUY,50K–100K,153.39,10000059988
John Hickenlooper,Democrat,Senate,CO,Liberty Broadband Corp,LBRDA:US,13 Jun,13 May 2022,31,Spouse,BUY,15K–50K,117.25,10000059989
John Hickenlooper,Democrat,Senate,CO,Liberty Broadband Corp,LBRDA:US,13 Jun,13 May 2022,31,Spouse,BUY,1K–15K,112.59,10000059990
John Hickenlooper,Democrat,Senate,CO,Formula One Group - The Liberty Media Group,FWONK:US,13 Jun,13 May 2022,31,Spouse,BUY,15K–50K,61.0,10000059991
John Hickenlooper,Democrat,Senate,CO,Formula One Group - The Liberty Media Group,FWONK:US,13 Jun,13 May 2022,31,Spouse,BUY,1K–15K,56.08,10000059992
John Hickenlooper,Democrat,Senate,CO,Liberty Media Corp Braves Group,BATRA:US,13 Jun,14 Mar 2022,91,Spouse,BUY,1K–15K,25.28,10000059993
