Richard Blumenthal,Democrat,Senate,CT,Keurig Dr Pepper Inc,KDP:US,8 Jun,28 Apr 2022,40,Spouse,SELL,100K–250K,37.99,10000059969
Greg Murphy,Republican,House,NC,CITY OF RALEIGH NORTH CAROLINA,N/A,8 Jun,1 May 2022,38,Undisclosed,SELL,250K–500K,N/A,20003724492
Jim Langevin,Democrat,House,RI,Airbnb Inc,ABNB:US,8 Jun,11 May 2022,27,Undisclosed,BUY,50K–100K,116.15,20003724479
Jim Langevin,Democrat,House,RI,Airbnb Inc,ABNB:US,8 Jun,26 May 2022,12,Undisclosed,SELL,1K–15K,N/A,20003724480
Jim Langevin,Democrat,House,RI,Block Inc,SQ:US,8 Jun,26 May 2022,12,Undisclosed,SELL,1K–15K,N/A,20003724481
Jim Langevin,Democrat,House,RI,Block Inc,SQ:US,8 Jun,11 May 2022,27,Undisclosed,BUY,15K–50K,71.22,20003724482
Jim Langevin,Democrat,House,RI,Block Inc,SQ:US,8 Jun,13 May 2022,25,Undisclosed,SELL,1K–15K,N/A,20003724483
Jim Langevin,Democrat,House,RI,DoorDash Inc,DASH:US,8 Jun,17 May 2022,21,Undisclosed,SELL,1K–15K,N/A,20003724484
Jim Langevin,Democrat,House,RI,DoorDash Inc,DASH:US,8 Jun,11 May 2022,27,Undisclosed,BUY,15K–50K,59.51,20003724485
Jim Langevin,Democrat,House,RI,DoorDash Inc,DASH:US,8 Jun,31 May 2022,7,Undisclosed,BUY,15K–50K,76.91,20003724486
Jim Langevin,Democrat,House,RI,DoorDash Inc,DASH:US,8 Jun,27 May 2022,11,Undisclosed,SELL,15K–50K,78.09,20003724487
Jim Langevin,Democrat,House,RI,Generac Holdings Inc,GNRC:US,8 Jun,11 May 2022,27,Undisclosed,BUY,15K–50K,N/A,20003724488
