Sheldon Whitehouse,Democrat,Senate,RI,Warner Bros Discover Inc,WBD:US,24 May,11 Apr 2022,43,Spouse,RECEIVE,1K–15K,N/A,10000059936
Mikie Sherrill,Democrat,House,NJ,UBS Group AG,UBS:US,24 May,23 May 2022,0,Joint,SELL,100K–250K,18.43,20003723773
Suzan DelBene,Democrat,House,WA,CONNECTICUT HOUSING FINANCE AUTHORITY,N/A,24 May,16 May 2022,7,Joint,SELL,250K–500K,N/A,20003723768
Suzan DelBene,Democrat,House,WA,DISTRICT OF COLUMBIA,N/A,24 May,6 May 2022,17,Joint,SELL,500K–1M,N/A,20003723769
Suzan DelBene,Democrat,House,WA,STATE OF ILLINOIS,N/A,24 May,3 May 2022,20,Joint,BUY,250K–500K,N/A,20003723770
Suzan DelBene,Democrat,House,WA,NEW YORK CITY TRANSITIONAL FINANCE AUTHORITY,N/A,24 May,6 May 2022,17,Joint,BUY,500K–1M,N/A,20003723771
Suzan DelBene,Democrat,House,WA,CITY OF NEW YORK,N/A,24 May,10 May 2022,13,Joint,BUY,1K–15K,N/A,20003723772
Tom Suozzi,Democrat,House,NY,Advanced Micro Devices Inc,AMD:US,23 May,4 Mar 2022,77,Undisclosed,BUY,15K–50K,108.41,20003723745
Tom Suozzi,Democrat,House,NY,Affirm Holdings Inc,AFRM:US,23 May,4 Mar 2022,77,Undisclosed,SELL,1K–15K,35.82,20003723746
Tom Suozzi,Democrat,House,NY,Block Inc,SQ:US,23 May,5 May 2022,15,Undisclosed,SELL,15K–50K,95.55,20003723747
Tom Suozzi,Democrat,House,NY,Boeing Co,BA:US,23 May,4 Mar 2022,77,Undisclosed,BUY,15K–50K,180.84,20003723748
Tom Suozzi,Democrat,House,NY,Eaton Corp PLC,ETN:US,23 May,4 Mar 2022,77,Undisclosed,BUY,15K–50K,149.78,20003723749
