Hal Rogers,Republican,House,KY,BRIDGE BUILDER SMALL MID CAP GROWTH FUND,BBGSX:US,18 May,30 Mar 2022,47,Undisclosed,BUY,1K–15K,14.55,20003723683
Chuck Fleischmann,Republican,House,TN,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,PDBC:US,18 May,25 Apr 2022,21,Joint,BUY,1K–15K,18.25,20003723684
Chuck Fleischmann,Republican,House,TN,iShares U.S. Aerospace & Defense ETF,ITA:US,18 May,25 Apr 2022,21,Joint,BUY,1K–15K,107.64,20003723685
Chuck Fleischmann,Republican,House,TN,iShares iBonds Dec 2024 Term Corporate ETF,IBDP:US,18 May,25 Apr 2022,21,Joint,SELL,1K–15K,24.9,20003723686
Chuck Fleischmann,Republican,House,TN,iShares MSCI United Kingdom ETF,EWU:US,18 May,25 Apr 2022,21,Joint,SELL,1K–15K,32.58,20003723687
Chuck Fleischmann,Republican,House,TN,ISHARES BB RAT CORP BOND ETF,HYBB:US,18 May,25 Apr 2022,21,Joint,BUY,1K–15K,47.29,20003723688
Chuck Fleischmann,Republican,House,TN,iShares Trust iBonds Dec 2029 Term Corporate Etf,IBDU:US,18 May,25 Apr 2022,21,Joint,BUY,1K–15K,23.51,20003723689
Chuck Fleischmann,Republican,House,TN,ISHARES IBONDS TERM TREA ETF,IBTK:US,18 May,25 Apr 2022,21,Joint,BUY,1K–15K,21.045,20003723690
Chuck Fleischmann,Republican,House,TN,iShares iBonds Dec 2025 Term Treasury ETF,IBTF:US,18 May,25 Apr 2022,21,Joint,SELL,1K–15K,24.02,20003723691
Chuck Fleischmann,Republican,House,TN,SPDR Portfolio Developed World ex-US ETF,SPDW:US,18 May,25 Apr 2022,21,Joint,SELL,1K–15K,32.52,20003723692
Chuck Fleischmann,Republican,House,TN,SPDR Portfolio S&P 500 Growth ETF,SPYG:US,18 May,25 Apr 2022,21,Joint,BUY,1K–15K,60.59,20003723693
Chuck Fleischmann,Republican,House,TN,SPDR Series Trust - SPDR Portfolio S&P 500 Value ETF,SPYV:US,18 May,25 Apr 2022,21,Joint,BUY,1K–15K,41.02,20003723694
