Trey Hollingsworth,Republican,House,IN,Enterprise Products Partners LP,EPD:US,28 Apr,19 Apr 2022,8,Undisclosed,SELL,500K–1M,27.03,20003720856
Diana Harshbarger,Republican,House,TN,AECOM,ACM:US,28 Apr,17 Mar 2022,39,Undisclosed,BUY,1K–15K,77.48,20003720972
Diana Harshbarger,Republican,House,TN,AECOM,ACM:US,28 Apr,17 Mar 2022,39,Spouse,BUY,1K–15K,77.48,20003720973
Diana Harshbarger,Republican,House,TN,AECOM,ACM:US,28 Apr,17 Mar 2022,39,Undisclosed,BUY,1K–15K,77.48,20003720974
Diana Harshbarger,Republican,House,TN,Amazon.com Inc,AMZN:US,28 Apr,17 Mar 2022,39,Joint,BUY,1K–15K,"3,144.78",20003720975
Diana Harshbarger,Republican,House,TN,NortonLifeLock Inc,GEN:US,28 Apr,17 Mar 2022,39,Spouse,BUY,1K–15K,25.93,20003720976
Diana Harshbarger,Republican,House,TN,NortonLifeLock Inc,GEN:US,28 Apr,17 Mar 2022,39,Joint,BUY,1K–15K,25.93,20003720977
Diana Harshbarger,Republican,House,TN,NortonLifeLock Inc,GEN:US,28 Apr,17 Mar 2022,39,Undisclosed,BUY,1K–15K,25.93,20003720978
Diana Harshbarger,Republican,House,TN,Comcast Corp,CMCSA:US,28 Apr,21 Mar 2022,35,Undisclosed,BUY,1K–15K,46.67,20003720979
Diana Harshbarger,Republican,House,TN,T-Mobile US Inc,TMUS:US,28 Apr,21 Mar 2022,35,Undisclosed,BUY,1K–15K,125.97,20003720980
Diana Harshbarger,Republican,House,TN,T-Mobile US Inc,TMUS:US,28 Apr,21 Mar 2022,35,Spouse,BUY,1K–15K,125.97,20003720981
Diana Harshbarger,Republican,House,TN,Baker Hughes a GE Co,BKR:US,28 Apr,22 Mar 2022,34,Spouse,BUY,1K–15K,36.54,20003720982
