Kim Schrier,Democrat,House,WA,Tesla Inc,TSLA:US,22 Apr,22 Mar 2022,30,Spouse,SELL,250K–500K,993.98,20003720839
Jacklyn Rosen,Democrat,Senate,NV,AT&T Inc,T:US,21 Apr,8 Apr 2022,13,Joint,EXCHANGE,1K–15K,N/A,10000059745
Jacklyn Rosen,Democrat,Senate,NV,AT&T Inc,T:US,21 Apr,8 Apr 2022,13,Joint,EXCHANGE,1K–15K,N/A,10000059746
Jacklyn Rosen,Democrat,Senate,NV,AT&T Inc,T:US,21 Apr,8 Apr 2022,13,Joint,EXCHANGE,1K–15K,N/A,10000059747
Jacklyn Rosen,Democrat,Senate,NV,Becton Dickinson and Co,BDX:US,21 Apr,1 Apr 2022,20,Joint,EXCHANGE,1K–15K,N/A,10000059748
Jacklyn Rosen,Democrat,Senate,NV,EMBECTA CORP,EMBC:US,21 Apr,1 Apr 2022,20,Joint,RECEIVE,1K–15K,N/A,10000059749
Jacklyn Rosen,Democrat,Senate,NV,Warner Bros Discover Inc,WBD:US,21 Apr,8 Apr 2022,13,Joint,RECEIVE,1K–15K,N/A,10000059750
Jacklyn Rosen,Democrat,Senate,NV,Warner Bros Discover Inc,WBD:US,21 Apr,8 Apr 2022,13,Joint,RECEIVE,1K–15K,N/A,10000059751
Jacklyn Rosen,Democrat,Senate,NV,Warner Bros Discover Inc,WBD:US,21 Apr,8 Apr 2022,13,Joint,RECEIVE,1K–15K,N/A,10000059752
Mark Green,Republican,House,TN,Energy Transfer LP,ET:US,21 Apr,19 Apr 2022,1,Undisclosed,SELL,250K–500K,11.72,20003720833
Mark Green,Republican,House,TN,USA Compression Partners LP,USAC:US,21 Apr,18 Apr 2022,2,Undisclosed,SELL,500K–1M,19.98,20003720834
Mark Green,Republican,House,TN,USA Compression Partners LP,USAC:US,21 Apr,14 Apr 2022,6,Undisclosed,SELL,100K–250K,19.55,20003720835
