Ro Khanna,Democrat,House,CA,Activision Blizzard Inc,ATVI:US,11 Apr,3 Mar 2022,35,Child,SELL,1K–15K,81.5,20003720126
Scott Franklin,Republican,House,FL,American Electric Power Co Inc,AEP:US,11 Apr,10 Mar 2022,29,Joint,SELL,15K–50K,95.99,20003720050
Scott Franklin,Republican,House,FL,Discover Financial Services,DFS:US,11 Apr,10 Mar 2022,29,Joint,BUY,15K–50K,104.8,20003720051
Scott Franklin,Republican,House,FL,The PNC Financial Services Group Inc,PNC:US,11 Apr,10 Mar 2022,29,Joint,BUY,15K–50K,184.96,20003720052
Scott Franklin,Republican,House,FL,Starbucks Corp,SBUX:US,11 Apr,10 Mar 2022,29,Joint,BUY,15K–50K,87.16,20003720053
Scott Franklin,Republican,House,FL,Visa Inc,V:US,11 Apr,10 Mar 2022,29,Joint,BUY,15K–50K,197.97,20003720054
Scott Franklin,Republican,House,FL,Unitedhealth Group Inc,UNH:US,11 Apr,11 Mar 2022,28,Joint,BUY,15K–50K,482.87,20003720055
Scott Franklin,Republican,House,FL,Walmart Inc,WMT:US,11 Apr,11 Mar 2022,28,Joint,BUY,15K–50K,142.07,20003720056
Scott Franklin,Republican,House,FL,Medtronic PLC,MDT:US,11 Apr,15 Mar 2022,24,Joint,BUY,15K–50K,105.4,20003720057
Scott Franklin,Republican,House,FL,Verizon Communications Inc,VZ:US,11 Apr,15 Mar 2022,24,Joint,BUY,15K–50K,52.76,20003720058
Scott Franklin,Republican,House,FL,Alphabet Inc,GOOGL:US,11 Apr,21 Mar 2022,18,Joint,BUY,15K–50K,"2,722.03",20003720059
Scott Franklin,Republican,House,FL,Apple Inc,AAPL:US,11 Apr,21 Mar 2022,18,Joint,BUY,15K–50K,165.38,20003720060
