Susie Lee,Democrat,House,NV,ATLANTIC RICHFIELD CO,N/A,7 Mar,1 Feb 2022,31,Undisclosed,SELL,15K–50K,N/A,20003715068
Marie Newman,Democrat,House,IL,Activision Blizzard Inc,ATVI:US,7 Mar,8 Feb 2022,25,Spouse,SELL,1K–15K,80.23,20003715060
Marie Newman,Democrat,House,IL,Activision Blizzard Inc,ATVI:US,7 Mar,8 Feb 2022,25,Spouse,SELL,1K–15K,80.23,20003715061
Marie Newman,Democrat,House,IL,Coinbase Global Inc,COIN:US,7 Mar,8 Feb 2022,25,Spouse,SELL,1K–15K,N/A,20003715062
Kathy Manning,Democrat,House,NC,Adobe Inc,ADBE:US,7 Mar,18 Feb 2022,14,Joint,BUY,1K–15K,442.56,20003715051
Kathy Manning,Democrat,House,NC,Intuitive Surgical Inc,ISRG:US,7 Mar,23 Feb 2022,9,Joint,BUY,1K–15K,276.5,20003715052
Kathy Manning,Democrat,House,NC,Meta Platforms Inc,META:US,7 Mar,18 Feb 2022,14,Joint,SELL,50K–100K,206.16,20003715053
Kathy Manning,Democrat,House,NC,Netflix Inc,NFLX:US,7 Mar,2 Feb 2022,30,Joint,BUY,1K–15K,429.48,20003715054
Kathy Manning,Democrat,House,NC,NEXT CENTURY SPIRITS LLC,N/A,7 Mar,15 Feb 2022,17,Spouse,BUY,100K–250K,N/A,20003715055
Kathy Manning,Democrat,House,NC,NVIDIA Corporation,NVDA:US,7 Mar,18 Feb 2022,14,Joint,BUY,1K–15K,236.42,20003715056
Kathy Manning,Democrat,House,NC,ServiceNow Inc,NOW:US,7 Mar,18 Feb 2022,14,Joint,BUY,15K–50K,556.01,20003715057
Kathy Manning,Democrat,House,NC,SEVEN BRIDGES PRIVATE EQUITY OPPORTUNITIES FUND II LP,N/A,7 Mar,15 Feb 2022,17,Spouse,BUY,15K–50K,N/A,20003715058
