Nancy Pelosi,Democrat,House,CA,The Walt Disney Co,DIS:US,1 Mar,21 Jan 2022,38,Spouse,BUY,500K–1M,100.0,20003714220
Bill Keating,Democrat,House,MA,Comcast Corp,CMCSA:US,1 Mar,11 Jan 2022,48,Undisclosed,BUY,15K–50K,N/A,20003714212
Bill Keating,Democrat,House,MA,Fiserv Inc,FI:US,1 Mar,28 Jan 2022,31,Undisclosed,SELL,1K–15K,104.89,20003714213
Bill Keating,Democrat,House,MA,General Motors Financial Co Inc,ACF:US,1 Mar,11 Feb 2022,17,Undisclosed,BUY,15K–50K,N/A,20003714214
Bill Keating,Democrat,House,MA,General Motors Financial Co Inc,ACF:US,1 Mar,11 Feb 2022,17,Undisclosed,SELL,15K–50K,N/A,20003714215
Diana Harshbarger,Republican,House,TN,AB PRIVATE CREDIT INVESTORS CORP,N/A,1 Mar,3 Jan 2022,56,Undisclosed,BUY,15K–50K,N/A,20003728334
Diana Harshbarger,Republican,House,TN,AB PRIVATE CREDIT INVESTORS CORP,N/A,1 Mar,3 Jan 2022,56,Undisclosed,BUY,1K–15K,N/A,20003728335
Diana Harshbarger,Republican,House,TN,Alphabet Inc,GOOGL:US,1 Mar,20 Jan 2022,39,Undisclosed,BUY,1K–15K,"2,670.13",20003728336
Diana Harshbarger,Republican,House,TN,The Goldman Sachs Group Inc,GS:US,1 Mar,20 Jan 2022,39,Spouse,BUY,1K–15K,348.1,20003728337
Diana Harshbarger,Republican,House,TN,The Goldman Sachs Group Inc,GS:US,1 Mar,20 Jan 2022,39,Joint,BUY,1K–15K,348.1,20003728338
Diana Harshbarger,Republican,House,TN,The Goldman Sachs Group Inc,GS:US,1 Mar,20 Jan 2022,39,Undisclosed,BUY,1K–15K,348.1,20003728339
Diana Harshbarger,Republican,House,TN,The Goldman Sachs Group Inc,GS:US,1 Mar,20 Jan 2022,39,Undisclosed,BUY,1K–15K,348.1,20003728340
