Suzan DelBene,Democrat,House,WA,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,N/A,9 Feb,18 Jan 2022,22,Joint,BUY,15K–50K,N/A,20003710918
Cindy Axne,Democrat,House,IA,Brown-Forman Corp,BF/A:US,9 Feb,13 Jan 2022,26,Spouse,BUY,1K–15K,67.14,20003710909
Cindy Axne,Democrat,House,IA,GLOBAL PAYMENTS Inc,GPN:US,9 Feb,13 Jan 2022,26,Spouse,BUY,1K–15K,149.24,20003710910
Cindy Axne,Democrat,House,IA,Jefferies Financial Group Inc,JEF:US,9 Feb,13 Jan 2022,26,Spouse,BUY,1K–15K,38.06,20003710911
Cindy Axne,Democrat,House,IA,Keysight Technologies Inc,KEYS:US,9 Feb,13 Jan 2022,26,Spouse,BUY,1K–15K,186.61,20003710912
Cindy Axne,Democrat,House,IA,Liberty Broadband Corp,LBRDA:US,9 Feb,13 Jan 2022,26,Spouse,BUY,1K–15K,149.0,20003710913
Cindy Axne,Democrat,House,IA,Starbucks Corp,SBUX:US,9 Feb,13 Jan 2022,26,Spouse,BUY,1K–15K,102.4,20003710914
Cindy Axne,Democrat,House,IA,U.S. Bancorp,USB:US,9 Feb,15 Jan 2022,24,Spouse,SELL,1K–15K,24.99,20003710915
Cindy Axne,Democrat,House,IA,U.S. Bancorp,USB:US,9 Feb,15 Jan 2022,24,Spouse,SELL,1K–15K,24.99,20003710916
Cindy Axne,Democrat,House,IA,U.S. Bancorp,USB:US,9 Feb,15 Jan 2022,24,Undisclosed,SELL,1K–15K,24.99,20003710917
Earl Blumenauer,Democrat,House,OR,Northwest Natural Holding Co,NWN:US,8 Feb,28 Jan 2022,10,Spouse,SELL,15K–50K,47.51,20003710908
Richard Blumenthal,Democrat,Senate,CT,Robinhood Markets Inc,HOOD:US,7 Feb,8 Dec 2021,56,Spouse,SELL,15K–50K,23.72,10000059388
