Tom Carper,Democrat,Senate,DE,Johnson & Johnson,JNJ:US,3 Feb,18 Jan 2022,16,Spouse,BUY,1K–15K,167.1,10000059385
Kevin Hern,Republican,House,OK,Barclays Bank PLC,8376923Z:LN,3 Feb,19 Jan 2022,14,Joint,BUY,250K–500K,N/A,20003710814
Kevin Hern,Republican,House,OK,FS ENERGY AND POWER FUND,FSEN:US,3 Feb,19 Jan 2022,14,Joint,BUY,1K–15K,2.25,20003710815
Kevin Hern,Republican,House,OK,Inland Real Estate Income Trust Inc,INRE:US,3 Feb,7 Jan 2022,26,Joint,BUY,1K–15K,12.56,20003710816
Kevin Hern,Republican,House,OK,JPMorgan Chase & Co,JPM:US,3 Feb,31 Jan 2022,2,Joint,BUY,1K–15K,148.6,20003710817
Kevin Hern,Republican,House,OK,Pioneer Natural Resources Co,PXD:US,3 Feb,14 Jan 2022,19,Joint,BUY,1K–15K,215.7,20003710818
John Curtis,Republican,House,UT,Elevance Health Inc,ELV:US,3 Feb,14 Jan 2022,19,Joint,BUY,1K–15K,452.14,20003710809
John Curtis,Republican,House,UT,Blackrock Inc,BLK:US,3 Feb,14 Jan 2022,19,Joint,SELL,1K–15K,848.6,20003710810
John Curtis,Republican,House,UT,Caterpillar Inc,CAT:US,3 Feb,14 Jan 2022,19,Joint,BUY,1K–15K,228.94,20003710811
John Curtis,Republican,House,UT,Citigroup Inc,C:US,3 Feb,14 Jan 2022,19,Joint,SELL,1K–15K,66.93,20003710812
John Curtis,Republican,House,UT,Morgan Stanley,MS:US,3 Feb,14 Jan 2022,19,Joint,BUY,1K–15K,98.88,20003710813
Dan Crenshaw,Republican,House,TX,Boeing Co,BA:US,3 Feb,20 Jan 2022,13,Undisclosed,SELL,1K–15K,214.19,20003710805
