Judy Chu,Democrat,House,CA,The Allstate Corporation,ALL:US,31 Jan,26 Jan 2022,3,Undisclosed,SELL,15K–50K,120.3,20003710771
Michael McCaul,Republican,House,TX,KENTUCKY ASSET LIABILITY COMMISSION,N/A,28 Jan,13 Dec 2021,45,Spouse,BUY,100K–250K,N/A,20003710324
Michael McCaul,Republican,House,TX,METROPOLITAN COUNCIL MINNESOTA,N/A,28 Jan,7 Dec 2021,51,Spouse,BUY,100K–250K,N/A,20003710325
Michael McCaul,Republican,House,TX,COUNTY OF ALLEGHANY PENNSYLVANIA,N/A,28 Jan,14 Dec 2021,44,Spouse,BUY,100K–250K,N/A,20003710326
Michael McCaul,Republican,House,TX,IAC/InterActiveCorp,IAC:US,28 Jan,15 Dec 2021,43,Spouse,BUY,50K–100K,125.02,20003710327
Michael McCaul,Republican,House,TX,Evolution AB (publ),EVVTY:US,28 Jan,20 Dec 2021,38,Spouse,BUY,50K–100K,128.305,20003710328
Michael McCaul,Republican,House,TX,Citigroup Inc,C:US,28 Jan,27 Dec 2021,31,Spouse,BUY,50K–100K,60.65,20003710329
Michael McCaul,Republican,House,TX,Schwab (Charles) Corp,SCHW:US,28 Jan,20 Dec 2021,38,Spouse,BUY,50K–100K,80.68,20003710330
Michael McCaul,Republican,House,TX,PayPal Holdings Inc,PYPL:US,28 Jan,13 Dec 2021,45,Spouse,BUY,50K–100K,186.38,20003710331
Michael McCaul,Republican,House,TX,PayPal Holdings Inc,PYPL:US,28 Jan,20 Dec 2021,38,Spouse,BUY,15K–50K,182.68,20003710332
Michael McCaul,Republican,House,TX,FleetCor Technologies Inc,FLT:US,28 Jan,20 Dec 2021,38,Spouse,BUY,15K–50K,211.2,20003710333
Michael McCaul,Republican,House,TX,Linde PLC,LIN:US,28 Jan,20 Dec 2021,38,Spouse,BUY,15K–50K,330.32,20003710334
