Diana Harshbarger,Republican,House,TN,Oshkosh Corp,OSK:US,26 Jan,19 Jan 2022,5,Spouse,BUY,1K–15K,120.2,20003710311
Alan Lowenthal,Democrat,House,CA,Janus International Group Inc,JBI:US,24 Jan,7 Jan 2022,14,Spouse,BUY,1K–15K,12.0,20003710208
Alan Lowenthal,Democrat,House,CA,Service Corp International,SCI:US,24 Jan,30 Dec 2021,22,Spouse,BUY,15K–50K,N/A,20003710209
Alan Lowenthal,Democrat,House,CA,Uber Technologies Inc,UBER:US,24 Jan,27 Dec 2021,25,Spouse,BUY,1K–15K,42.96,20003710210
Alan Lowenthal,Democrat,House,CA,T-Mobile US Inc,TMUS:US,24 Jan,27 Dec 2021,25,Joint,BUY,1K–15K,118.58,20003710207
John Raymond Garamendi,Democrat,House,CA,Block Inc,SQ:US,24 Jan,14 Jan 2022,7,Spouse,SELL,1K–15K,133.29,20003710203
John Raymond Garamendi,Democrat,House,CA,Granite Construction Inc,GVA:US,24 Jan,14 Jan 2022,7,Spouse,SELL,1K–15K,38.16,20003710204
John Raymond Garamendi,Democrat,House,CA,Meta Platforms Inc,META:US,24 Jan,14 Jan 2022,7,Spouse,SELL,15K–50K,331.9,20003710205
John Raymond Garamendi,Democrat,House,CA,Twitter Inc,TWTR:US,24 Jan,14 Jan 2022,7,Spouse,SELL,1K–15K,38.44,20003710206
Mike Kelly,Republican,House,PA,CITY OF BOSTON MASSACHUSETTS,N/A,22 Jan,7 Dec 2021,45,Spouse,SELL,100K–250K,N/A,20003714782
Mike Kelly,Republican,House,PA,STATE OF CALIFORNIA,N/A,22 Jan,1 Dec 2021,51,Spouse,SELL,1K–15K,N/A,20003714783
Mike Kelly,Republican,House,PA,STATE OF ILLINOIS,N/A,22 Jan,1 Dec 2021,51,Spouse,BUY,50K–100K,N/A,20003714784
