Mike Kelly,Republican,House,PA,DARKPULSE INC,DPLS:US,22 Jan,20 Dec 2021,32,Spouse,BUY,1K–15K,0.071,20003714785
Jerry Moran,Republican,Senate,KS,U.S. Bancorp,USB:US,21 Jan,21 Dec 2021,31,Spouse,SELL,1K–15K,55.84,10000059271
Jerry Moran,Republican,Senate,KS,Microsoft Corp,MSFT:US,21 Jan,21 Dec 2021,31,Spouse,SELL,1K–15K,327.29,10000059272
Jerry Moran,Republican,Senate,KS,Gilead Sciences Inc,GILD:US,21 Jan,21 Dec 2021,31,Spouse,SELL,1K–15K,71.84,10000059273
Jerry Moran,Republican,Senate,KS,Exxon Mobil Corp,XOM:US,21 Jan,21 Dec 2021,31,Spouse,SELL,1K–15K,60.5,10000059274
Jerry Moran,Republican,Senate,KS,CVS Health Corp,CVS:US,21 Jan,21 Dec 2021,31,Spouse,SELL,1K–15K,100.79,10000059275
Jerry Moran,Republican,Senate,KS,Berkshire Hathaway Inc,BRK/B:US,21 Jan,21 Dec 2021,31,Spouse,SELL,1K–15K,293.24,10000059276
Jerry Moran,Republican,Senate,KS,Bank of America Corp,BAC:US,21 Jan,21 Dec 2021,31,Spouse,SELL,1K–15K,44.19,10000059277
Jerry Moran,Republican,Senate,KS,Apple Inc,AAPL:US,21 Jan,21 Dec 2021,31,Spouse,SELL,1K–15K,172.99,10000059278
Jerry Moran,Republican,Senate,KS,Polaris Inc,PII:US,21 Jan,21 Dec 2021,31,Spouse,BUY,1K–15K,104.52,10000059279
Jerry Moran,Republican,Senate,KS,Pfizer Inc,PFE:US,21 Jan,21 Dec 2021,31,Spouse,BUY,1K–15K,58.95,10000059280
Jerry Moran,Republican,Senate,KS,Kimberly-Clark Corp,KMB:US,21 Jan,21 Dec 2021,31,Spouse,BUY,1K–15K,139.29,10000059281
