John Boozman,Republican,Senate,AR,The AES Corp,AES:US,19 Jan,21 Dec 2021,22,Undisclosed,BUY,1K–15K,23.71,10000059262
Bill Pascrell,Democrat,House,NJ,Tortoise Energy Infrastructure Corp,TYG:US,19 Jan,20 Dec 2021,29,Undisclosed,SELL,1K–15K,26.12,20003710163
Mark Green,Republican,House,TN,Antero Midstream Corp,AM:US,19 Jan,6 Jan 2022,12,Undisclosed,BUY,250K–500K,10.2,20003710151
Mark Green,Republican,House,TN,Enlink Midstream LLC,ENLC:US,19 Jan,6 Jan 2022,12,Undisclosed,SELL,500K–1M,7.1,20003710152
Mark Green,Republican,House,TN,KNOT Offshore Partners LP,KNOP:US,19 Jan,6 Jan 2022,12,Undisclosed,BUY,50K–100K,14.48,20003710153
Mark Green,Republican,House,TN,KNOT Offshore Partners LP,KNOP:US,19 Jan,12 Jan 2022,6,Undisclosed,BUY,100K–250K,15.4,20003710154
Mark Green,Republican,House,TN,NGL Energy Partners LP,NGL:US,19 Jan,12 Jan 2022,6,Undisclosed,BUY,15K–50K,2.25,20003710155
Mark Green,Republican,House,TN,NGL Energy Partners LP,NGL:US,19 Jan,6 Jan 2022,12,Undisclosed,BUY,50K–100K,2.13,20003710156
Mark Green,Republican,House,TN,PBF Logistics LP,PBFX:US,19 Jan,6 Jan 2022,12,Undisclosed,BUY,100K–250K,12.69,20003710157
Mark Green,Republican,House,TN,PBF Logistics LP,PBFX:US,19 Jan,12 Jan 2022,6,Undisclosed,BUY,100K–250K,12.71,20003710158
Mark Green,Republican,House,TN,Plains All American Pipeline LP,PAA:US,19 Jan,6 Jan 2022,12,Undisclosed,SELL,500K–1M,10.04,20003710159
Mark Green,Republican,House,TN,Sprague Resources LP,SRLP:US,19 Jan,6 Jan 2022,12,Undisclosed,BUY,250K–500K,14.5,20003710160
