Gerry Connolly,Democrat,House,VA,Science Applications International Corp,SAIC:US,15 Nov,13 Nov 2023,1,Joint,SELL,1K–15K,113.78,20003769201
Greg Stanton,Democrat,House,AZ,Teledyne Technologies Inc,TDY:US,13 Nov,24 Oct 2023,20,Undisclosed,SELL,1K–15K,386.19,20003768536
Josh Gottheimer,Democrat,House,NJ,Adyen N.V,ADYEY:US,13 Nov,16 Oct 2023,26,Joint,BUY,1K–15K,7.643,20003768479
Josh Gottheimer,Democrat,House,NJ,ALAMO GROUP INC,ALG:US,13 Nov,27 Oct 2023,15,Joint,SELL,1K–15K,158.93,20003768480
Josh Gottheimer,Democrat,House,NJ,Align Technology Inc,ALGN:US,13 Nov,27 Oct 2023,15,Joint,SELL,1K–15K,190.94,20003768481
Josh Gottheimer,Democrat,House,NJ,Allegiant Travel Co,ALGT:US,13 Nov,16 Oct 2023,26,Joint,BUY,1K–15K,74.76,20003768482
Josh Gottheimer,Democrat,House,NJ,Allegro Microsystems Inc,ALGM:US,13 Nov,27 Oct 2023,15,Joint,BUY,1K–15K,27.63,20003768483
Josh Gottheimer,Democrat,House,NJ,Alphabet Inc,GOOGL:US,13 Nov,25 Oct 2023,17,Joint,SELL,1K–15K,126.67,20003768484
Josh Gottheimer,Democrat,House,NJ,Alphabet Inc,GOOGL:US,13 Nov,11 Oct 2023,31,Undisclosed,SELL,1K–15K,141.7,20003768485
Josh Gottheimer,Democrat,House,NJ,Apple Inc,AAPL:US,13 Nov,30 Oct 2023,12,Joint,BUY,1K–15K,170.29,20003768486
Josh Gottheimer,Democrat,House,NJ,Arista Networks Inc,ANET:US,13 Nov,16 Oct 2023,26,Joint,BUY,1K–15K,196.84,20003768487
Josh Gottheimer,Democrat,House,NJ,BioCryst Pharmaceuticals Inc,BCRX:US,13 Nov,16 Oct 2023,26,Joint,BUY,1K–15K,5.94,20003768488
