Debbie Dingell,Democrat,House,MI,Sylvamo Corp,SLVM:US,11 Dec,1 Dec 2021,9,Undisclosed,SELL,1K–15K,31.15,20003708647
Jacklyn Rosen,Democrat,Senate,NV,Dell Technologies Inc,DELL:US,10 Dec,1 Nov 2021,38,Spouse,EXCHANGE,1K–15K,111.51,10000059169
Jacklyn Rosen,Democrat,Senate,NV,VMware Inc,VMW:US,10 Dec,1 Nov 2021,38,Spouse,RECEIVE,1K–15K,152.45,10000059170
Kevin Hern,Republican,House,OK,ABB Ltd,ABB:US,10 Dec,26 Nov 2021,13,Joint,BUY,50K–100K,34.19,20003708016
Kevin Hern,Republican,House,OK,Accenture PLC,ACN:US,10 Dec,26 Nov 2021,13,Joint,BUY,1K–15K,353.6,20003708017
Kevin Hern,Republican,House,OK,AGCO Corp,AGCO:US,10 Dec,26 Nov 2021,13,Joint,BUY,50K–100K,117.28,20003708018
Kevin Hern,Republican,House,OK,ArcBest Corp,ARCB:US,10 Dec,26 Nov 2021,13,Joint,BUY,50K–100K,105.69,20003708019
Kevin Hern,Republican,House,OK,BALL CORPORATION,BALL:US,10 Dec,26 Nov 2021,13,Joint,BUY,50K–100K,94.7,20003708020
Kevin Hern,Republican,House,OK,Crane Co,CR:US,10 Dec,26 Nov 2021,13,Joint,BUY,15K–50K,100.09,20003708021
Kevin Hern,Republican,House,OK,Duke Realty Corp,DRE:US,10 Dec,26 Nov 2021,13,Joint,BUY,50K–100K,58.37,20003708022
Kevin Hern,Republican,House,OK,Fidelity MSCI Consumer Discretionary Index ETF,FDIS:US,10 Dec,26 Nov 2021,13,Joint,BUY,50K–100K,88.92,20003708023
Kevin Hern,Republican,House,OK,Fidelity Covington Trust - Fidelity MSCI Information Technology Index ETF,FTEC:US,10 Dec,26 Nov 2021,13,Joint,BUY,100K–250K,130.61,20003708024
