Dan Crenshaw,Republican,House,TX,Tesla Inc,TSLA:US,8 Dec,16 Nov 2021,21,Undisclosed,SELL,1K–15K,"1,054.73",20003707995
Trey Hollingsworth,Republican,House,IN,Enterprise Products Partners LP,EPD:US,8 Dec,17 Nov 2021,20,Undisclosed,BUY,100K–250K,22.38,20003708047
Trey Hollingsworth,Republican,House,IN,Enterprise Products Partners LP,EPD:US,8 Dec,19 Nov 2021,18,Undisclosed,BUY,100K–250K,21.7,20003708048
Trey Hollingsworth,Republican,House,IN,Magellan Midstream Partners LP,MMP:US,8 Dec,19 Nov 2021,18,Undisclosed,BUY,50K–100K,46.22,20003708049
Trey Hollingsworth,Republican,House,IN,Magellan Midstream Partners LP,MMP:US,8 Dec,26 Nov 2021,11,Undisclosed,BUY,50K–100K,47.52,20003708050
Trey Hollingsworth,Republican,House,IN,Magellan Midstream Partners LP,MMP:US,8 Dec,26 Nov 2021,11,Undisclosed,BUY,50K–100K,47.52,20003708051
Trey Hollingsworth,Republican,House,IN,Magellan Midstream Partners LP,MMP:US,8 Dec,30 Nov 2021,7,Undisclosed,BUY,15K–50K,46.38,20003708052
Trey Hollingsworth,Republican,House,IN,Enterprise Products Partners LP,EPD:US,8 Dec,2 Dec 2021,5,Undisclosed,BUY,50K–100K,21.31,20003708053
Trey Hollingsworth,Republican,House,IN,Enterprise Products Partners LP,EPD:US,8 Dec,3 Dec 2021,4,Undisclosed,BUY,15K–50K,21.21,20003708054
Kurt Schrader,Democrat,House,OR,Vulcan Materials Co,VMC:US,8 Dec,8 Nov 2021,29,Undisclosed,BUY,1K–15K,205.76,20003708055
Kurt Schrader,Democrat,House,OR,Northrop Grumman Corp,NOC:US,8 Dec,8 Nov 2021,29,Undisclosed,BUY,1K–15K,363.27,20003708056
Kurt Schrader,Democrat,House,OR,Visa Inc,V:US,8 Dec,8 Nov 2021,29,Undisclosed,SELL,1K–15K,220.49,20003708057
