Alan Lowenthal,Democrat,House,CA,Service Corp International,SCI:US,19 Nov,10 Nov 2021,8,Spouse,SELL,1K–15K,66.98,20003707714
Kim Schrier,Democrat,House,WA,Abbott Laboratories,ABT:US,19 Nov,28 Oct 2021,21,Joint,SELL,1K–15K,127.71,20003707715
Kim Schrier,Democrat,House,WA,Alphabet Inc,GOOGL:US,19 Nov,28 Oct 2021,21,Joint,SELL,15K–50K,"2,916.98",20003707716
Kim Schrier,Democrat,House,WA,Apple Inc,AAPL:US,19 Nov,28 Oct 2021,21,Joint,BUY,250K–500K,152.57,20003707717
Kim Schrier,Democrat,House,WA,Becton Dickinson and Co,BDX:US,19 Nov,28 Oct 2021,21,Joint,SELL,1K–15K,238.66,20003707718
Kim Schrier,Democrat,House,WA,Bristol-Myers Squibb Co,BMY:US,19 Nov,28 Oct 2021,21,Joint,SELL,1K–15K,57.13,20003707719
Kim Schrier,Democrat,House,WA,Brookfield Renewable Partners LP,BEP:US,19 Nov,28 Oct 2021,21,Joint,SELL,1K–15K,40.39,20003707720
Kim Schrier,Democrat,House,WA,Cisco Systems Inc,CSCO:US,19 Nov,28 Oct 2021,21,Joint,SELL,15K–50K,56.24,20003707721
Kim Schrier,Democrat,House,WA,Cleveland-Cliffs Inc,CLF:US,19 Nov,28 Oct 2021,21,Joint,SELL,15K–50K,24.45,20003707722
Kim Schrier,Democrat,House,WA,Costco Wholesale Corp,COST:US,19 Nov,28 Oct 2021,21,Joint,SELL,15K–50K,490.53,20003707723
Kim Schrier,Democrat,House,WA,CVS Health Corp,CVS:US,19 Nov,28 Oct 2021,21,Joint,SELL,15K–50K,88.62,20003707724
Kim Schrier,Democrat,House,WA,Donaldson Co Inc,DCI:US,19 Nov,28 Oct 2021,21,Joint,SELL,1K–15K,60.05,20003707725
