Bob Gibbs,Republican,House,OH,Neogenomics Inc,NEO:US,15 Nov,9 Nov 2021,5,Undisclosed,SELL,1K–15K,43.39,20003707170
Shelley Moore Capito,Republican,Senate,WV,PPG Industries Inc,PPG:US,13 Nov,13 Oct 2021,30,Spouse,BUY,1K–15K,154.68,10000059073
Scott Peters,Democrat,House,CA,BAY AREA TOLL AUTHORITY,N/A,13 Nov,14 Oct 2021,29,Spouse,SELL,500K–1M,N/A,20003707171
Scott Peters,Democrat,House,CA,CALIFORNIA EDUCATIONAL FACILITIES AUTHORITY,N/A,13 Nov,14 Oct 2021,29,Spouse,SELL,250K–500K,N/A,20003707172
Scott Peters,Democrat,House,CA,CIBOLO CREEK MUNICIPAL AUTHORITY,N/A,13 Nov,13 Oct 2021,30,Spouse,BUY,50K–100K,N/A,20003707173
Scott Peters,Democrat,House,CA,CONTRA COSTA COMMUNITY COLLEGE DISTRICT,N/A,13 Nov,14 Oct 2021,29,Spouse,SELL,500K–1M,N/A,20003707174
Scott Peters,Democrat,House,CA,CONTRA COSTA COMMUNITY COLLEGE DISTRICT,N/A,13 Nov,14 Oct 2021,29,Spouse,SELL,250K–500K,N/A,20003707175
Scott Peters,Democrat,House,CA,SEQUOIA UNION HIGH SCHOOL DISTRICT,N/A,13 Nov,14 Oct 2021,29,Spouse,SELL,500K–1M,N/A,20003707176
Kim Schrier,Democrat,House,WA,Apple Inc,AAPL:US,13 Nov,27 Jul 2021,108,Joint,BUY,500K–1M,146.77,20003707177
Chuck Fleischmann,Republican,House,TN,iShares MSCI Emerging Markets ex China ETF,EMXC:US,13 Nov,25 Oct 2021,18,Joint,SELL,1K–15K,61.82,20003707237
Chuck Fleischmann,Republican,House,TN,SPDR S&P 400 Mid Cap Growth ETF,MDYG:US,13 Nov,25 Oct 2021,18,Joint,BUY,1K–15K,80.73,20003707238
Chuck Fleischmann,Republican,House,TN,SPDR S&P 400 Mid Cap Value ETF,MDYV:US,13 Nov,25 Oct 2021,18,Joint,BUY,1K–15K,70.33,20003707239
