Cindy Axne,Democrat,House,IA,Visa Inc,V:US,6 Nov,22 Oct 2021,14,Spouse,BUY,1K–15K,231.23,20003707048
Kevin Hern,Republican,House,OK,Blackrock Inc,BLK:US,6 Nov,20 Oct 2021,16,Joint,BUY,15K–50K,902.93,20003707052
Kevin Hern,Republican,House,OK,Chevron Corp,CVX:US,6 Nov,20 Oct 2021,16,Joint,BUY,50K–100K,113.16,20003707053
Kevin Hern,Republican,House,OK,Columbia Diversified Fixed Income Allocation ETF,DIAL:US,6 Nov,6 Oct 2021,30,Joint,BUY,1K–15K,21.29,20003707054
Kevin Hern,Republican,House,OK,Fidelity MSCI Materials Index ETF,FMAT:US,6 Nov,20 Oct 2021,16,Joint,BUY,15K–50K,47.54,20003707055
Kevin Hern,Republican,House,OK,FS ENERGY AND POWER FUND,FSEN:US,6 Nov,15 Oct 2021,21,Joint,BUY,1K–15K,N/A,20003707056
Kevin Hern,Republican,House,OK,FS KKR Capital Corp,FSK:US,6 Nov,4 Oct 2021,32,Joint,BUY,1K–15K,22.23,20003707057
Kevin Hern,Republican,House,OK,Illinois Tool Works Inc,ITW:US,6 Nov,20 Oct 2021,16,Joint,BUY,15K–50K,223.67,20003707058
Kevin Hern,Republican,House,OK,Inland Real Estate Income Trust Inc,INRE:US,6 Nov,7 Oct 2021,29,Joint,BUY,1K–15K,9.62,20003707059
Kevin Hern,Republican,House,OK,iShares TIPS Bond ETF,TIP:US,6 Nov,7 Oct 2021,29,Joint,BUY,1K–15K,127.75,20003707060
Kevin Hern,Republican,House,OK,iShares TIPS Bond ETF,TIP:US,6 Nov,7 Oct 2021,29,Joint,BUY,1K–15K,127.75,20003707061
Kevin Hern,Republican,House,OK,JPMorgan Chase & Co,JPM:US,6 Nov,29 Oct 2021,7,Joint,BUY,1K–15K,169.89,20003707062
