Zoe Lofgren,Democrat,House,CA,Wells Fargo & Co,WFC:US,4 Nov,5 Oct 2021,29,Spouse,BUY,1K–15K,N/A,20003707012
Tom Carper,Democrat,Senate,DE,Barclays PLC,BCS:US,3 Nov,25 Oct 2021,8,Spouse,BUY,15K–50K,N/A,10000058985
Tom Carper,Democrat,Senate,DE,Snowflake Inc,SNOW:US,3 Nov,22 Oct 2021,11,Spouse,BUY,1K–15K,339.78,10000058986
Tom Carper,Democrat,Senate,DE,Barclays PLC,BCS:US,3 Nov,21 Oct 2021,12,Spouse,SELL,15K–50K,N/A,10000058987
Tom Carper,Democrat,Senate,DE,Barclays PLC,BCS:US,3 Nov,21 Oct 2021,12,Spouse,SELL,15K–50K,N/A,10000058988
Virginia Foxx,Republican,House,NC,Altria Group Inc,MO:US,3 Nov,13 Oct 2021,20,Joint,BUY,1K–15K,47.92,20003706959
Virginia Foxx,Republican,House,NC,Duke Energy Corp,DUK:US,3 Nov,7 Oct 2021,26,Joint,SELL,50K–100K,N/A,20003706960
Virginia Foxx,Republican,House,NC,Glaxosmithkline PLC,GSK:US,3 Nov,8 Oct 2021,25,Joint,BUY,1K–15K,38.71,20003706961
Virginia Foxx,Republican,House,NC,One Liberty Properties Inc,OLP:US,3 Nov,7 Oct 2021,26,Joint,BUY,1K–15K,31.57,20003706962
Virginia Foxx,Republican,House,NC,PPL Corp,PPL:US,3 Nov,4 Oct 2021,29,Joint,BUY,1K–15K,28.29,20003706963
Virginia Foxx,Republican,House,NC,Sculptor Capital Management Inc,SCU:US,3 Nov,25 Oct 2021,8,Joint,BUY,15K–50K,24.65,20003706964
Virginia Foxx,Republican,House,NC,Sculptor Capital Management Inc,SCU:US,3 Nov,26 Oct 2021,7,Joint,BUY,1K–15K,24.36,20003706965
