Lois Frankel,Democrat,House,FL,Stanley Black & Decker Inc,SWK:US,29 Sept,15 Sept 2021,13,Undisclosed,BUY,1K–15K,185.71,20003689676
Lois Frankel,Democrat,House,FL,Stanley Black & Decker Inc,SWK:US,29 Sept,16 Sept 2021,12,Undisclosed,BUY,1K–15K,187.72,20003689677
Lois Frankel,Democrat,House,FL,Union Pacific Corp,UNP:US,29 Sept,1 Sept 2021,27,Undisclosed,BUY,1K–15K,216.93,20003689678
Fred Upton,Republican,House,MI,GXO Logistic Inc,GXO:US,29 Sept,2 Aug 2021,57,Joint,RECEIVE,250K–500K,N/A,20003689880
Fred Upton,Republican,House,MI,XPO Logistics Inc,XPO:US,29 Sept,2 Aug 2021,57,Joint,EXCHANGE,250K–500K,N/A,20003689881
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,29 Sept,13 Sept 2021,15,Spouse,BUY,15K–50K,91.75,20003689882
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,29 Sept,27 Sept 2021,1,Spouse,SELL,15K–50K,93.86,20003689883
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,29 Sept,13 Sept 2021,15,Undisclosed,BUY,15K–50K,91.75,20003689884
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,29 Sept,27 Sept 2021,1,Undisclosed,SELL,15K–50K,93.86,20003689885
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,29 Sept,13 Sept 2021,15,Spouse,BUY,15K–50K,91.75,20003689886
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,29 Sept,27 Sept 2021,1,Spouse,SELL,15K–50K,93.86,20003689887
Victoria Spartz,Republican,House,IN,Simon Property Group Inc,SPG:US,28 Sept,13 Aug 2021,45,Undisclosed,BUY,15K–50K,133.67,20003689679
