John Curtis,Republican,House,UT,STATE OF UTAH,N/A,18 Sept,14 Sept 2021,3,Joint,BUY,1K–15K,N/A,20003685183
Shelley Moore Capito,Republican,Senate,WV,Apple Inc,AAPL:US,16 Sept,25 Aug 2021,21,Spouse,BUY,1K–15K,148.36,10000055862
Shelley Moore Capito,Republican,Senate,WV,Microsoft Corp,MSFT:US,16 Sept,17 Aug 2021,29,Spouse,SELL,1K–15K,293.08,10000055863
Shelley Moore Capito,Republican,Senate,WV,Apple Inc,AAPL:US,16 Sept,17 Aug 2021,29,Spouse,SELL,1K–15K,150.19,10000055864
Mitch McConnell,Republican,Senate,KY,Wells Fargo & Co,WFC:US,16 Sept,3 Sept 2021,12,Spouse,BUY,1K–15K,44.17,10000055865
Suzan DelBene,Democrat,House,WA,Microsoft Corp,MSFT:US,16 Sept,31 Aug 2021,15,Spouse,BUY,5M–25M,301.88,20003681660
Suzan DelBene,Democrat,House,WA,Microsoft Corp,MSFT:US,16 Sept,30 Aug 2021,16,Spouse,BUY,250K–500K,303.59,20003681661
Suzan DelBene,Democrat,House,WA,SOMERSET COUNTY NJ,N/A,16 Sept,16 Aug 2021,30,Joint,SELL,50K–100K,N/A,20003681662
Suzan DelBene,Democrat,House,WA,SOMERSET COUNTY NJ,N/A,16 Sept,12 Aug 2021,34,Joint,SELL,100K–250K,N/A,20003681663
Suzan DelBene,Democrat,House,WA,STATE OF TEXAS,N/A,16 Sept,12 Aug 2021,34,Joint,SELL,500K–1M,N/A,20003681664
Suzan DelBene,Democrat,House,WA,TOWN OF WOLCOTT CONNECTICUT,N/A,16 Sept,11 Aug 2021,35,Joint,BUY,500K–1M,N/A,20003681665
Kevin Hern,Republican,House,OK,Adobe Inc,ADBE:US,16 Sept,21 Jul 2021,56,Joint,BUY,50K–100K,612.26,20003683017
