Lois Frankel,Democrat,House,FL,Waters Corp,WAT:US,19 Aug,4 Aug 2021,14,Undisclosed,SELL,1K–15K,394.25,20003672143
Michael McCaul,Republican,House,TX,Netflix Inc,NFLX:US,19 Aug,30 Jul 2021,19,Spouse,BUY,100K–250K,517.57,20003672749
Michael McCaul,Republican,House,TX,Netflix Inc,NFLX:US,19 Aug,29 Jul 2021,20,Spouse,BUY,100K–250K,514.25,20003672750
Michael McCaul,Republican,House,TX,Netflix Inc,NFLX:US,19 Aug,26 Jul 2021,23,Spouse,BUY,100K–250K,516.49,20003672751
Michael McCaul,Republican,House,TX,Netflix Inc,NFLX:US,19 Aug,23 Jul 2021,26,Spouse,BUY,100K–250K,515.41,20003672752
Michael McCaul,Republican,House,TX,Naspers Ltd,NPSNY:US,19 Aug,20 Jul 2021,29,Spouse,BUY,50K–100K,39.625,20003672753
Michael McCaul,Republican,House,TX,JEA,N/A,19 Aug,28 Jul 2021,21,Spouse,BUY,50K–100K,N/A,20003672754
Michael McCaul,Republican,House,TX,KBR Inc,KBR:US,19 Aug,14 Jul 2021,35,Spouse,BUY,50K–100K,38.84,20003672755
Michael McCaul,Republican,House,TX,Boston Scientific Corp,BSX:US,19 Aug,30 Jul 2021,19,Spouse,BUY,15K–50K,45.6,20003672756
Michael McCaul,Republican,House,TX,Concentrix Corp,CNXC:US,19 Aug,1 Jul 2021,48,Spouse,BUY,1K–15K,159.97,20003672757
Michael McCaul,Republican,House,TX,Berkshire Hathaway Inc,BRK/B:US,19 Aug,15 Jul 2021,34,Spouse,SELL,1K–15K,279.72,20003672758
Michael McCaul,Republican,House,TX,DENTSPLY SIRONA Inc,XRAY:US,19 Aug,1 Jul 2021,48,Spouse,SELL,1K–15K,64.03,20003672759
