Kathy Castor,Democrat,House,FL,Berkshire Hathaway Inc,BRK/B:US,30 Jul,18 Jun 2021,41,Undisclosed,BUY,1K–15K,274.04,20003243616
Angus King,Other,Senate,ME,Thermo Fisher Scientific Inc,TMO:US,29 Jul,24 Jun 2021,34,Spouse,BUY,1K–15K,495.36,10000053740
Angus King,Other,Senate,ME,Adobe Inc,ADBE:US,29 Jul,24 Jun 2021,34,Spouse,BUY,1K–15K,578.26,10000053741
Angus King,Other,Senate,ME,MAINE STATE HOUSING AUTHORITY,N/A,29 Jul,10 Jun 2021,48,Spouse,SELL,15K–50K,N/A,10000053742
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,28 Jul,6 Jul 2021,21,Spouse,BUY,15K–50K,81.88,20003198697
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,28 Jul,6 Jul 2021,21,Undisclosed,BUY,15K–50K,81.88,20003198698
Doug Lamborn,Republican,House,CO,NetApp Inc,NTAP:US,28 Jul,6 Jul 2021,21,Spouse,BUY,15K–50K,81.88,20003198699
Trey Hollingsworth,Republican,House,IN,Magellan Midstream Partners LP,MMP:US,28 Jul,2 Jul 2021,25,Undisclosed,BUY,15K–50K,49.08,20003198701
Trey Hollingsworth,Republican,House,IN,Magellan Midstream Partners LP,MMP:US,28 Jul,6 Jul 2021,21,Undisclosed,BUY,15K–50K,48.88,20003198702
Trey Hollingsworth,Republican,House,IN,Magellan Midstream Partners LP,MMP:US,28 Jul,7 Jul 2021,20,Undisclosed,BUY,15K–50K,48.24,20003198703
Trey Hollingsworth,Republican,House,IN,Magellan Midstream Partners LP,MMP:US,28 Jul,8 Jul 2021,19,Undisclosed,BUY,15K–50K,48.22,20003198704
Trey Hollingsworth,Republican,House,IN,Magellan Midstream Partners LP,MMP:US,28 Jul,9 Jul 2021,18,Undisclosed,BUY,15K–50K,48.39,20003198705
