Sheldon Whitehouse,Democrat,Senate,RI,General Motors Financial Co Inc,ACF:US,24 Jul,7 Jun 2021,46,Joint,SELL,15K–50K,N/A,10000053739
Bill Keating,Democrat,House,MA,Adobe Inc,ADBE:US,21 Jul,10 Jun 2021,40,Undisclosed,BUY,1K–15K,535.52,20002751779
Bill Keating,Democrat,House,MA,Lowe's Cos Inc,LOW:US,21 Jul,29 Jun 2021,21,Undisclosed,BUY,15K–50K,N/A,20002751780
Bill Keating,Democrat,House,MA,Verisign Inc,VRSN:US,21 Jul,10 Jun 2021,40,Undisclosed,SELL,1K–15K,220.97,20002751781
Suzan DelBene,Democrat,House,WA,BERKELEY HEIGHTS TOWNSHIP NEW JERSEY,N/A,20 Jul,25 Jun 2021,24,Joint,BUY,500K–1M,N/A,20002657977
Suzan DelBene,Democrat,House,WA,LOS ANGELES COUNTY TREASURER AND TAX COLLECTOR,N/A,20 Jul,30 Jun 2021,19,Joint,SELL,500K–1M,N/A,20002657979
Suzan DelBene,Democrat,House,WA,LOS ANGELES COUNTY TREASURER AND TAX COLLECTOR,N/A,20 Jul,1 Jun 2021,48,Joint,SELL,50K–100K,N/A,20002657980
Suzan DelBene,Democrat,House,WA,LOS ANGELES COUNTY TREASURER AND TAX COLLECTOR,N/A,20 Jul,11 Jun 2021,38,Joint,BUY,500K–1M,N/A,20002657981
Suzan DelBene,Democrat,House,WA,CITY OF NEW YORK,N/A,20 Jul,10 Jun 2021,39,Joint,BUY,15K–50K,N/A,20002657982
Suzan DelBene,Democrat,House,WA,Palantir Technologies Inc,PLTR:US,20 Jul,18 Jun 2021,31,Joint,EXCHANGE,100K–250K,25.37,20002657983
Blake Moore,Republican,House,UT,Alibaba Group Holding Ltd,BABA:US,18 Jul,26 Mar 2021,113,Undisclosed,BUY,1K–15K,227.26,20002567857
Blake Moore,Republican,House,UT,Alibaba Group Holding Ltd,BABA:US,18 Jul,11 May 2021,67,Undisclosed,BUY,1K–15K,221.38,20002567858
