Bill Hagerty,Republican,Senate,TN,Boeing Co,BA:US,9 Jul,8 Jun 2021,30,Self,BUY,1K–15K,252.76,10000053568
Chris Jacobs,Republican,House,NY,FBL Financial Group Inc,FFG:US,9 Jul,26 May 2021,43,Undisclosed,SELL,1K–15K,60.99,20002096242
Katherine Clark,Democrat,House,MA,The Procter & Gamble Co,PG:US,9 Jul,30 Jun 2021,8,Undisclosed,BUY,1K–15K,134.93,20002140763
John Boozman,Republican,Senate,AR,Goldman Sachs Access Investment Grade Corporate Bond ETF,GIGB:US,8 Jul,10 Jun 2021,27,Undisclosed,SELL,1K–15K,54.56,10000053573
John Boozman,Republican,Senate,AR,iShares Trust iShares 20 Year Treasury Bond ETF,TLT:US,8 Jul,10 Jun 2021,27,Undisclosed,SELL,1K–15K,142.54,10000053574
John Boozman,Republican,Senate,AR,iShares 10-20 Year Treasury Bond ETF,TLH:US,8 Jul,29 Jun 2021,8,Undisclosed,SELL,1K–15K,146.48,10000053575
John Boozman,Republican,Senate,AR,Goldman Sachs AccessTreasury 0-1 Year ETF,GBIL:US,8 Jul,10 Jun 2021,27,Undisclosed,BUY,1K–15K,100.115,10000053576
John Boozman,Republican,Senate,AR,Janus Henderson Mortgage-Backed Securities ETF,JMBS:US,8 Jul,29 Jun 2021,8,Undisclosed,BUY,1K–15K,53.11,10000053577
John Boozman,Republican,Senate,AR,VANECK EMERGING MARKETS FUND,EMRIX:US,8 Jul,28 Jun 2021,9,Undisclosed,EXCHANGE,15K–50K,23.24,10000053578
John Boozman,Republican,Senate,AR,VANECK EMERGING MARKETS FUND,EMRIX:US,8 Jul,28 Jun 2021,9,Undisclosed,RECEIVE,15K–50K,23.3,10000053579
Bob Gibbs,Republican,House,OH,Barrick Gold Corp,GOLD:US,8 Jul,7 Jul 2021,0,Undisclosed,BUY,1K–15K,21.19,20002095575
Jim Langevin,Democrat,House,RI,Meta Platforms Inc,META:US,8 Jul,4 Jun 2021,33,Undisclosed,SELL,1K–15K,N/A,20002096464
