John Hickenlooper,Democrat,Senate,CO,Peloton Interactive Inc,PTON:US,4 Jun,4 May 2021,30,Spouse,BUY,1K–15K,96.7,10000050549
Virginia Foxx,Republican,House,NC,Altria Group Inc,MO:US,4 Jun,3 May 2021,31,Joint,BUY,1K–15K,48.37,20001648215
Virginia Foxx,Republican,House,NC,Antero Midstream Corp,AM:US,4 Jun,13 May 2021,21,Joint,BUY,1K–15K,9.22,20001648216
Virginia Foxx,Republican,House,NC,AT&T Inc,T:US,4 Jun,4 May 2021,30,Joint,BUY,1K–15K,32.02,20001648217
Virginia Foxx,Republican,House,NC,Enterprise Products Partners LP,EPD:US,4 Jun,13 May 2021,21,Joint,BUY,1K–15K,23.61,20001648218
Virginia Foxx,Republican,House,NC,National Health Investors Inc,NHI:US,4 Jun,12 May 2021,22,Joint,BUY,15K–50K,65.65,20001648219
Virginia Foxx,Republican,House,NC,National Health Investors Inc,NHI:US,4 Jun,27 May 2021,7,Joint,BUY,15K–50K,65.56,20001648220
Virginia Foxx,Republican,House,NC,Plains All American Pipeline LP,PAA:US,4 Jun,17 May 2021,17,Joint,BUY,1K–15K,10.45,20001648221
Virginia Foxx,Republican,House,NC,Tribune Publishing Co,TPCO:US,4 Jun,27 May 2021,7,Joint,SELL,15K–50K,17.26,20001648222
Abigail Spanberger,Democrat,House,VA,L3Harris Technologies Inc,LHX:US,4 Jun,1 Jun 2021,2,Spouse,RECEIVE,1K–15K,N/A,20001650005
Vernon Buchanan,Republican,House,FL,BLACK BELT ENERGY GAS DISTRICT,N/A,3 Jun,19 Apr 2021,44,Undisclosed,SELL,100K–250K,N/A,20001643773
Vernon Buchanan,Republican,House,FL,PARKLAND SCHOOL DISTRICT,N/A,3 Jun,23 Apr 2021,40,Undisclosed,BUY,50K–100K,N/A,20001643774
