Tammy Duckworth,Democrat,Senate,IL,The Walt Disney Co,DIS:US,17 Apr,5 Apr 2021,11,Joint,SELL,1K–15K,188.5,10000046704
Hakeem Jeffries,Democrat,House,NY,Schwab US Dividend Equity ETF,SCHD:US,17 Apr,12 Apr 2021,4,Undisclosed,BUY,15K–50K,74.46,20001634343
Ro Khanna,Democrat,House,CA,IHS Markit Ltd,INFO:US,17 Apr,16 Mar 2021,31,Child,SELL,1K–15K,95.33,20001634372
Ro Khanna,Democrat,House,CA,Adobe Inc,ADBE:US,17 Apr,24 Mar 2021,23,Child,BUY,1K–15K,451.51,20001634373
Ro Khanna,Democrat,House,CA,Snap Inc,SNAP:US,17 Apr,24 Mar 2021,23,Child,BUY,1K–15K,50.51,20001634374
Ro Khanna,Democrat,House,CA,NVIDIA Corporation,NVDA:US,17 Apr,24 Mar 2021,23,Child,BUY,1K–15K,505.72,20001634375
Ro Khanna,Democrat,House,CA,The Estee Lauder Cos Inc,EL:US,17 Apr,24 Mar 2021,23,Child,SELL,1K–15K,284.98,20001634376
Ro Khanna,Democrat,House,CA,Chipotle Mexican Grill Inc,CMG:US,17 Apr,26 Mar 2021,21,Child,BUY,1K–15K,"1,445.48",20001634377
Ro Khanna,Democrat,House,CA,The Estee Lauder Cos Inc,EL:US,17 Apr,24 Mar 2021,23,Child,SELL,1K–15K,284.98,20001634378
Ro Khanna,Democrat,House,CA,IHS Markit Ltd,INFO:US,17 Apr,16 Mar 2021,31,Child,SELL,1K–15K,95.33,20001634382
Ro Khanna,Democrat,House,CA,Adobe Inc,ADBE:US,17 Apr,24 Mar 2021,23,Child,BUY,1K–15K,451.51,20001634383
Ro Khanna,Democrat,House,CA,IHS Markit Ltd,INFO:US,17 Apr,24 Mar 2021,23,Child,SELL,1K–15K,96.19,20001634384
