Mike Simpson,Republican,House,ID,American Airlines Group Inc,AAL:US,3 Apr,18 Mar 2021,15,Undisclosed,BUY,1K–15K,24.7,20001625800
Tom Carper,Democrat,Senate,DE,JPMorgan Chase & Co,JPM:US,2 Apr,26 Mar 2021,6,Spouse,BUY,15K–50K,N/A,10000046563
Tom Carper,Democrat,Senate,DE,JPMorgan Chase & Co,JPM:US,2 Apr,26 Mar 2021,6,Spouse,BUY,15K–50K,N/A,10000046564
Tom Carper,Democrat,Senate,DE,Barclays PLC,BCS:US,2 Apr,24 Mar 2021,8,Spouse,SELL,15K–50K,N/A,10000046565
Tom Carper,Democrat,Senate,DE,Barclays PLC,BCS:US,2 Apr,24 Mar 2021,8,Spouse,SELL,15K–50K,N/A,10000046566
Don Beyer,Democrat,House,VA,Amazon.com Inc,AMZN:US,2 Apr,18 Mar 2021,14,Joint,SELL,1K–15K,"3,027.99",20001625660
Don Beyer,Democrat,House,VA,BLACKROCK LIQUIDITY FUNDS FEDFUND DOLLAR,TDDXX:US,2 Apr,18 Mar 2021,14,Joint,BUY,1K–15K,1.0,20001625661
Don Beyer,Democrat,House,VA,BLACKROCK LIQUIDITY FUNDS FEDFUND DOLLAR,TDDXX:US,2 Apr,15 Mar 2021,17,Joint,BUY,1K–15K,1.0,20001625664
Don Beyer,Democrat,House,VA,Costco Wholesale Corp,COST:US,2 Apr,18 Mar 2021,14,Joint,SELL,1K–15K,322.98,20001625667
Don Beyer,Democrat,House,VA,The Goldman Sachs Group Inc,GS:US,2 Apr,18 Mar 2021,14,Joint,BUY,1K–15K,348.0,20001625671
Don Beyer,Democrat,House,VA,JPMorgan Chase & Co,JPM:US,2 Apr,18 Mar 2021,14,Joint,BUY,1K–15K,157.65,20001625675
Don Beyer,Democrat,House,VA,Kadant Inc,KAI:US,2 Apr,18 Mar 2021,14,Joint,BUY,1K–15K,178.0,20001625676
