Markwayne Mullin,Republican,Senate,OK,CANADIAN COUNTY EDUCATIONAL FACILITIES AUTHORITY,N/A,1 Mar,8 Feb 2024,22,Joint,BUY,50K–100K,N/A,10000062155
Mark Green,Republican,House,TN,NGL Energy Partners LP,NGL:US,1 Mar,26 Feb 2024,3,Undisclosed,SELL,50K–100K,5.83,20003771207
Pete Sessions,Republican,House,TX,Apple Inc,AAPL:US,1 Mar,29 Feb 2024,0,Spouse,BUY,< 1K,180.75,20003771208
Pete Sessions,Republican,House,TX,Costco Wholesale Corp,COST:US,1 Mar,31 Jan 2024,29,Spouse,BUY,1K–15K,694.88,20003771209
Pete Sessions,Republican,House,TX,Microsoft Corp,MSFT:US,1 Mar,7 Feb 2024,22,Spouse,BUY,1K–15K,414.05,20003771210
Steve Cohen,Democrat,House,TN,BRADLEY COUNTY TENNESSEE,N/A,29 Feb,3 Feb 2024,25,Undisclosed,BUY,15K–50K,N/A,20003771205
Steve Cohen,Democrat,House,TN,EASTSIDE UTILITY DISTRICT OF HAMILTON AND BRADLEY COUNTIES TENNESSEE,N/A,29 Feb,3 Feb 2024,25,Undisclosed,BUY,15K–50K,N/A,20003771206
Nancy Pelosi,Democrat,House,CA,Palo Alto Networks Inc,PANW:US,26 Feb,12 Feb 2024,11,Spouse,BUY,500K–1M,N/A,20003771188
Nancy Pelosi,Democrat,House,CA,Palo Alto Networks Inc,PANW:US,26 Feb,21 Feb 2024,2,Spouse,BUY,100K–250K,N/A,20003771189
Shri Thanedar,Democrat,House,MI,Alphabet Inc,GOOGL:US,26 Feb,25 Jan 2024,29,Undisclosed,SELL,1K–15K,151.87,20003771190
Shri Thanedar,Democrat,House,MI,Alphabet Inc,GOOGL:US,26 Feb,25 Jan 2024,29,Undisclosed,SELL,1K–15K,151.87,20003771191
Shri Thanedar,Democrat,House,MI,Alphabet Inc,GOOGL:US,26 Feb,25 Jan 2024,29,Undisclosed,SELL,1K–15K,153.64,20003771192
