Bill Hagerty,Republican,Senate,TN,NSHD MSE BLOCK C JOINT VENTURE LLC,N/A,18 Oct,2 Oct 2023,16,Self,BUY,250K–500K,N/A,10000061566
Sheldon Whitehouse,Democrat,Senate,RI,Citigroup Inc,C:US,17 Oct,20 Sept 2023,27,Spouse,SELL,1K–15K,42.3,10000061548
Sheldon Whitehouse,Democrat,Senate,RI,PayPal Holdings Inc,PYPL:US,17 Oct,20 Sept 2023,27,Spouse,SELL,1K–15K,60.86,10000061549
Sheldon Whitehouse,Democrat,Senate,RI,AT&T Inc,T:US,17 Oct,20 Sept 2023,27,Spouse,SELL,1K–15K,15.55,10000061550
Sheldon Whitehouse,Democrat,Senate,RI,Hancock (John) Financial Opportunities Fund,BTO:US,17 Oct,20 Sept 2023,27,Spouse,SELL,1K–15K,25.77,10000061551
Sheldon Whitehouse,Democrat,Senate,RI,Warner Bros Discover Inc,WBD:US,17 Oct,20 Sept 2023,27,Spouse,SELL,1K–15K,11.5,10000061552
Sheldon Whitehouse,Democrat,Senate,RI,Intel Corp,INTC:US,17 Oct,20 Sept 2023,27,Spouse,SELL,1K–15K,34.69,10000061553
Sheldon Whitehouse,Democrat,Senate,RI,Metlife Inc,MET:US,17 Oct,20 Sept 2023,27,Self,SELL,1K–15K,66.09,10000061554
Sheldon Whitehouse,Democrat,Senate,RI,Ingersoll Rand Inc,IR:US,17 Oct,20 Sept 2023,27,Self,SELL,1K–15K,65.02,10000061555
Sheldon Whitehouse,Democrat,Senate,RI,KENVUE INC,KVUE:US,17 Oct,20 Sept 2023,27,Self,BUY,1K–15K,20.89,10000061556
Sheldon Whitehouse,Democrat,Senate,RI,Verizon Communications Inc,VZ:US,17 Oct,20 Sept 2023,27,Self,BUY,1K–15K,33.6,10000061557
Sheldon Whitehouse,Democrat,Senate,RI,Novartis AG,NVS:US,17 Oct,20 Sept 2023,27,Self,BUY,15K–50K,103.58,10000061558
