Lloyd Doggett,Democrat,House,TX,The Coca-Cola Co,KO:US,8 Aug,3 Jul 2023,35,Undisclosed,BUY,1K–15K,60.58,20003765671
Richard Blumenthal,Democrat,Senate,CT,Robinhood Markets Inc,HOOD:US,7 Aug,29 Jun 2023,39,Spouse,SELL,50K–100K,9.97,10000061237
Richard Blumenthal,Democrat,Senate,CT,Robinhood Markets Inc,HOOD:US,7 Aug,29 Jun 2023,39,Spouse,SELL,15K–50K,9.97,10000061238
Richard Blumenthal,Democrat,Senate,CT,ELCM2 LLC,N/A,7 Aug,10 Jul 2023,28,Undisclosed,SELL,500K–1M,N/A,10000061239
Richard Blumenthal,Democrat,Senate,CT,ELCM2 LLC,N/A,7 Aug,17 Jul 2023,21,Undisclosed,SELL,500K–1M,N/A,10000061240
Bob Latta,Republican,House,OH,Farmers & Merchants Bancorp Inc,FMAO:US,7 Aug,20 Jul 2023,16,Spouse,BUY,1K–15K,24.75,20003765658
Earl Blumenauer,Democrat,House,OR,Comcast Corp,CMCSA:US,7 Aug,14 Jul 2023,21,Spouse,BUY,15K–50K,N/A,20003765654
Earl Blumenauer,Democrat,House,OR,Intercontinental Exchange Inc,ICE:US,7 Aug,27 Jul 2023,8,Spouse,SELL,1K–15K,114.93,20003765655
Earl Blumenauer,Democrat,House,OR,Thermo Fisher Scientific Inc,TMO:US,7 Aug,20 Jul 2023,15,Spouse,BUY,15K–50K,N/A,20003765656
Earl Blumenauer,Democrat,House,OR,US TREASURY NOTE,N/A,7 Aug,20 Jul 2023,15,Spouse,BUY,15K–50K,N/A,20003765657
Kathy Manning,Democrat,House,NC,Blackstone Group Inc,BX:US,3 Aug,10 Jun 2022,418,Joint,BUY,15K–50K,107.63,20003765650
John Rutherford,Republican,House,FL,DNB BANK ASA,DNBBY:US,3 Aug,16 Mar 2022,504,Undisclosed,SELL,1K–15K,22.211,20003765651
