Seth Moulton,Democrat,House,MA,Activision Blizzard Inc,ATVI:US,6 Jul,13 Jun 2023,22,Spouse,SELL,100K–250K,80.7,20003764839
Dwight Evans,Democrat,House,PA,Baidu Inc,BIDU:US,6 Jul,22 Jun 2023,13,Undisclosed,SELL,1K–15K,141.92,20003764835
Dwight Evans,Democrat,House,PA,CVS Health Corp,CVS:US,6 Jul,22 Jun 2023,13,Undisclosed,BUY,1K–15K,69.41,20003764836
Dwight Evans,Democrat,House,PA,Kyndryl Holdings Inc,KD:US,6 Jul,22 Jun 2023,13,Undisclosed,BUY,1K–15K,13.27,20003764837
Dwight Evans,Democrat,House,PA,Sempra,SRE:US,6 Jul,22 Jun 2023,13,Undisclosed,BUY,1K–15K,N/A,20003764838
Don Beyer,Democrat,House,VA,DISTRICT OF COLUMBIA,N/A,3 Jul,6 Jun 2023,25,Joint,BUY,15K–50K,N/A,20003764830
Don Beyer,Democrat,House,VA,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,N/A,3 Jul,30 Jun 2023,1,Joint,SELL,1K–15K,N/A,20003764831
Don Beyer,Democrat,House,VA,VIRGINIA COLLEGE BUILDING AUTHORITY,N/A,3 Jul,6 Jun 2023,25,Joint,SELL,15K–50K,N/A,20003764832
Gary Peters,Democrat,Senate,MI,International Flavors & Fragrances Inc,IFF:US,30 Jun,6 Jun 2023,24,Self,BUY,1K–15K,80.87,10000061104
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,30 Jun,20 Jun 2023,10,Spouse,SELL,1K–15K,N/A,10000061098
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,30 Jun,20 Jun 2023,10,Spouse,SELL,15K–50K,N/A,10000061099
Tom Carper,Democrat,Senate,DE,Eaton Corp PLC,ETN:US,30 Jun,20 Jun 2023,10,Spouse,SELL,1K–15K,194.23,10000061100
