Rudy Yakym,Republican,House,IN,US TREASURY BILLS,N/A,16 May,9 May 2023,6,Undisclosed,BUY,100K–250K,N/A,20003763124
Marcy Kaptur,Democrat,House,OH,The Andersons Inc,ANDE:US,16 May,21 Oct 2022,206,Undisclosed,SELL,1K–15K,35.26,20003763120
Debbie Dingell,Democrat,House,MI,The Walt Disney Co,DIS:US,16 May,29 Nov 2022,167,Undisclosed,BUY,1K–15K,94.69,20003763119
Ron Wyden,Democrat,Senate,OR,Seagate Technology Holdings PLC,STX:US,15 May,11 Nov 2022,185,Spouse,SELL,15K–50K,57.15,10000060998
Ron Wyden,Democrat,Senate,OR,BALL CORPORATION,BALL:US,15 May,11 Nov 2022,185,Spouse,SELL,15K–50K,56.81,10000060999
Ron Wyden,Democrat,Senate,OR,Coupa Software Inc,COUP:US,15 May,11 Nov 2022,185,Spouse,SELL,15K–50K,55.22,10000061000
Ron Wyden,Democrat,Senate,OR,The Walt Disney Co,DIS:US,15 May,11 Nov 2022,185,Spouse,SELL,50K–100K,95.01,10000061001
Ron Wyden,Democrat,Senate,OR,Meta Platforms Inc,META:US,15 May,11 Nov 2022,185,Spouse,SELL,50K–100K,113.02,10000061002
Ron Wyden,Democrat,Senate,OR,FedEx Corp,FDX:US,15 May,11 Nov 2022,185,Spouse,SELL,50K–100K,175.61,10000061003
Ron Wyden,Democrat,Senate,OR,iRobot Corp,IRBT:US,15 May,11 Nov 2022,185,Spouse,SELL,15K–50K,53.4,10000061004
Ron Wyden,Democrat,Senate,OR,JUST EAT TAKEAWAY.COM N.V.,JTKWY:US,15 May,11 Nov 2022,185,Spouse,SELL,1K–15K,4.794,10000061005
Ron Wyden,Democrat,Senate,OR,Match Group Inc,MTCH:US,15 May,11 Nov 2022,185,Spouse,SELL,15K–50K,51.44,10000061006
