Max Miller,Republican,House,OH,NEW WATER CAPITAL PARTNERS II LP,N/A,4 Apr,17 Feb 2023,41,Undisclosed,BUY,1K–15K,N/A,20003761515
Lois Frankel,Democrat,House,FL,Citigroup Inc,C:US,4 Apr,22 Feb 2023,40,Undisclosed,BUY,1K–15K,50.04,20003761507
Lois Frankel,Democrat,House,FL,Citigroup Inc,C:US,4 Apr,1 Mar 2023,33,Undisclosed,BUY,1K–15K,51.5,20003761508
Lois Frankel,Democrat,House,FL,JPMorgan Chase & Co,JPM:US,4 Apr,2 Mar 2023,32,Undisclosed,BUY,1K–15K,141.07,20003761509
Lois Frankel,Democrat,House,FL,NXP Semiconductors NV,NXPI:US,4 Apr,22 Feb 2023,40,Undisclosed,SELL,1K–15K,177.69,20003761510
Lois Frankel,Democrat,House,FL,The PNC Financial Services Group Inc,PNC:US,4 Apr,22 Feb 2023,40,Undisclosed,SELL,1K–15K,156.3,20003761511
Lois Frankel,Democrat,House,FL,The PNC Financial Services Group Inc,PNC:US,4 Apr,1 Mar 2023,33,Undisclosed,SELL,1K–15K,155.21,20003761512
Lois Frankel,Democrat,House,FL,The PNC Financial Services Group Inc,PNC:US,4 Apr,2 Mar 2023,32,Undisclosed,SELL,1K–15K,150.24,20003761513
Tom Carper,Democrat,Senate,DE,Apple Inc,AAPL:US,3 Apr,7 Mar 2023,27,Spouse,SELL,15K–50K,151.6,10000060753
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,3 Apr,23 Mar 2023,11,Spouse,SELL,1K–15K,N/A,10000060754
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,3 Apr,23 Mar 2023,11,Spouse,BUY,1K–15K,N/A,10000060755
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,3 Apr,23 Mar 2023,11,Spouse,SELL,1K–15K,N/A,10000060756
