John Curtis,Republican,House,UT,Unitedhealth Group Inc,UNH:US,14 Mar,23 Feb 2023,18,Joint,SELL,1K–15K,491.69,20003761115
Shelley Moore Capito,Republican,Senate,WV,Wells Fargo & Co,WFC:US,13 Mar,23 Feb 2023,18,Spouse,SELL,1K–15K,46.25,10000060740
Shelley Moore Capito,Republican,Senate,WV,Chevron Corp,CVX:US,13 Mar,6 Feb 2023,35,Spouse,BUY,1K–15K,169.64,10000060741
Jared Moskowitz,Democrat,House,FL,Best Buy Co Inc,BBY:US,13 Mar,24 Feb 2023,14,Undisclosed,SELL,1K–15K,83.82,20003761080
Jared Moskowitz,Democrat,House,FL,Brown & Brown Inc,BRO:US,13 Mar,21 Feb 2023,17,Child,BUY,1K–15K,56.25,20003761081
Jared Moskowitz,Democrat,House,FL,Chubb Ltd,CB:US,13 Mar,21 Feb 2023,17,Child,BUY,1K–15K,208.77,20003761082
Jared Moskowitz,Democrat,House,FL,Costco Wholesale Corp,COST:US,13 Mar,21 Feb 2023,17,Child,BUY,1K–15K,501.74,20003761083
Jared Moskowitz,Democrat,House,FL,Dollar General Corporation,DG:US,13 Mar,21 Feb 2023,17,Child,BUY,1K–15K,226.61,20003761084
Jared Moskowitz,Democrat,House,FL,Hormel Foods Corp,HRL:US,13 Mar,21 Feb 2023,17,Child,BUY,1K–15K,45.48,20003761085
Jared Moskowitz,Democrat,House,FL,Illinois Tool Works Inc,ITW:US,13 Mar,21 Feb 2023,17,Child,BUY,1K–15K,233.4,20003761086
Jared Moskowitz,Democrat,House,FL,Intel Corp,INTC:US,13 Mar,13 Feb 2023,25,Child,SELL,1K–15K,28.55,20003761087
Jared Moskowitz,Democrat,House,FL,Intel Corp,INTC:US,13 Mar,13 Feb 2023,25,Undisclosed,SELL,1K–15K,28.55,20003761088
