Thomas Kean Jr,Republican,House,NJ,Stryker Corp,SYK:US,13 Mar,24 Feb 2023,15,Undisclosed,SELL,15K–50K,262.31,20003761079
David Kustoff,Republican,House,TN,CLEAR SECURE INC,YOU:US,10 Mar,2 Mar 2023,5,Undisclosed,BUY,1K–15K,28.83,20003760783
David Kustoff,Republican,House,TN,The TJX Companies Inc,TJX:US,10 Mar,2 Mar 2023,5,Undisclosed,BUY,15K–50K,76.71,20003760784
Ro Khanna,Democrat,House,CA,AUTODESK Inc,ADSK:US,10 Mar,13 Feb 2023,23,Child,SELL,1K–15K,224.0,20003760785
Ro Khanna,Democrat,House,CA,Enphase Energy Inc,ENPH:US,10 Mar,16 Feb 2023,20,Child,SELL,1K–15K,202.8,20003760786
Ro Khanna,Democrat,House,CA,Gartner Inc,IT:US,10 Mar,16 Feb 2023,20,Child,BUY,1K–15K,346.0,20003760787
Ro Khanna,Democrat,House,CA,Adobe Inc,ADBE:US,10 Mar,27 Feb 2023,9,Child,SELL,1K–15K,322.32,20003760788
Ro Khanna,Democrat,House,CA,Caterpillar Inc,CAT:US,10 Mar,3 Feb 2023,33,Child,BUY,15K–50K,247.76,20003760789
Ro Khanna,Democrat,House,CA,The Procter & Gamble Co,PG:US,10 Mar,3 Feb 2023,33,Child,BUY,1K–15K,142.61,20003760790
Ro Khanna,Democrat,House,CA,Bank of America Corp,BAC:US,10 Mar,15 Feb 2023,21,Child,BUY,1K–15K,35.56,20003760791
Ro Khanna,Democrat,House,CA,Truist Financial Corp,TFC:US,10 Mar,15 Feb 2023,21,Child,BUY,1K–15K,48.9,20003760792
Ro Khanna,Democrat,House,CA,Microsoft Corp,MSFT:US,10 Mar,3 Feb 2023,33,Child,BUY,1K–15K,258.35,20003760793
