Michael McCaul,Republican,House,TX,International Business Machines Corp,IBM:US,23 Apr,5 Mar 2024,48,Spouse,SELL,15K–50K,191.95,20003772610
Michael McCaul,Republican,House,TX,EAGLE CAPITAL SEL EQUITY ETF,EAGL:US,23 Apr,25 Mar 2024,28,Child,BUY,500K–1M,25.102,20003772611
Michael McCaul,Republican,House,TX,JPMorgan Chase & Co,JPM:US,23 Apr,21 Mar 2024,32,Child,BUY,500K–1M,199.06,20003772612
Michael McCaul,Republican,House,TX,JPMorgan Chase & Co,JPM:US,23 Apr,7 Mar 2024,46,Child,BUY,500K–1M,187.87,20003772613
Michael McCaul,Republican,House,TX,VANGUARD FEDERAL MONEY MARKET FUND,VMFXX:US,23 Apr,1 Mar 2024,52,Child,BUY,250K–500K,1.0,20003772614
Michael McCaul,Republican,House,TX,GEORGIA HOUSING AND FINANCE AUTHORITY,N/A,23 Apr,15 Mar 2024,38,Child,BUY,100K–250K,N/A,20003772615
Michael McCaul,Republican,House,TX,STATE OF WASHINGTON,N/A,23 Apr,26 Mar 2024,27,Child,BUY,100K–250K,N/A,20003772616
Michael McCaul,Republican,House,TX,VANGUARD FEDERAL MONEY MARKET FUND,VMFXX:US,23 Apr,4 Mar 2024,49,Child,BUY,100K–250K,1.0,20003772617
Michael McCaul,Republican,House,TX,VANGUARD FEDERAL MONEY MARKET FUND,VMFXX:US,23 Apr,1 Mar 2024,52,Child,BUY,100K–250K,1.0,20003772618
Michael McCaul,Republican,House,TX,VANGUARD FEDERAL MONEY MARKET FUND,VMFXX:US,23 Apr,1 Mar 2024,52,Child,BUY,50K–100K,1.0,20003772619
Michael McCaul,Republican,House,TX,Meta Platforms Inc,META:US,23 Apr,5 Mar 2024,48,Child,BUY,50K–100K,490.22,20003772620
Michael McCaul,Republican,House,TX,CASS COUNTY JOINT WATER RESOURCE DISTRICT NORTH DAKOTA,N/A,23 Apr,18 Mar 2024,35,Child,BUY,50K–100K,N/A,20003772621
