Ro Khanna,Democrat,House,CA,ON Semiconductor Corp,ON:US,9 Apr,25 Mar 2024,11,Child,SELL,1K–15K,73.54,20003772126
Ro Khanna,Democrat,House,CA,INDIANA FINANCE AUTHORITY,N/A,9 Apr,5 Mar 2024,31,Spouse,BUY,15K–50K,N/A,20003772127
Ro Khanna,Democrat,House,CA,STATE OF MARYLAND,N/A,9 Apr,5 Mar 2024,31,Spouse,BUY,15K–50K,N/A,20003772128
Ro Khanna,Democrat,House,CA,Johnson & Johnson,JNJ:US,9 Apr,20 Mar 2024,16,Spouse,BUY,15K–50K,155.76,20003772129
Ro Khanna,Democrat,House,CA,Pfizer Inc,PFE:US,9 Apr,20 Mar 2024,16,Spouse,BUY,15K–50K,27.7,20003772130
Ro Khanna,Democrat,House,CA,salesforce.com Inc,CRM:US,9 Apr,20 Mar 2024,16,Spouse,BUY,15K–50K,306.08,20003772131
Ro Khanna,Democrat,House,CA,Costco Wholesale Corp,COST:US,9 Apr,20 Mar 2024,16,Spouse,BUY,15K–50K,740.72,20003772132
Ro Khanna,Democrat,House,CA,United Parcel Service Inc,UPS:US,9 Apr,20 Mar 2024,16,Spouse,BUY,15K–50K,154.76,20003772133
Ro Khanna,Democrat,House,CA,Nasdaq Inc,NDAQ:US,9 Apr,20 Mar 2024,16,Spouse,BUY,15K–50K,60.88,20003772134
Ro Khanna,Democrat,House,CA,Booking Holdings Inc,BKNG:US,9 Apr,20 Mar 2024,16,Spouse,BUY,15K–50K,"3,578.49",20003772135
Ro Khanna,Democrat,House,CA,Charter Communications Inc,CHTR:US,9 Apr,20 Mar 2024,16,Spouse,BUY,15K–50K,295.3,20003772136
Ro Khanna,Democrat,House,CA,Applied Materials Inc,AMAT:US,9 Apr,20 Mar 2024,16,Spouse,BUY,15K–50K,205.06,20003772137
