Gerry Connolly,Democrat,House,VA,Science Applications International Corp,SAIC:US,25 Mar,18 Mar 2024,4,Joint,SELL,1K–15K,128.4,20003771745
Michael Burgess,Republican,House,TX,Illumina Inc,ILMN:US,25 Mar,11 Mar 2024,11,Undisclosed,SELL,1K–15K,139.06,20003771741
Michael Burgess,Republican,House,TX,Walgreens Boots Alliance Inc,WBA:US,25 Mar,1 Mar 2024,21,Undisclosed,SELL,1K–15K,21.49,20003771742
Dan Meuser,Republican,House,PA,NVIDIA Corporation,NVDA:US,22 Mar,20 Feb 2024,30,Spouse,SELL,250K–500K,694.52,20003771595
Dan Meuser,Republican,House,PA,NVIDIA Corporation,NVDA:US,22 Mar,20 Feb 2024,30,Child,SELL,15K–50K,694.52,20003771596
Dan Meuser,Republican,House,PA,NVIDIA Corporation,NVDA:US,22 Mar,20 Feb 2024,30,Child,SELL,15K–50K,694.52,20003771597
Dan Meuser,Republican,House,PA,US TREASURY BILLS,N/A,22 Mar,23 Feb 2024,27,Spouse,BUY,250K–500K,N/A,20003771598
Nancy Pelosi,Democrat,House,CA,FORGE INVESTMENTS LLC,N/A,22 Mar,4 Mar 2024,17,Spouse,BUY,1M–5M,N/A,20003771599
Michael McCaul,Republican,House,TX,JPMORGAN 100% US TREASURY SECURITIES MONEY MARKET FUND,JTSXX:US,22 Mar,15 Feb 2024,34,Spouse,BUY,1K–15K,1.0,20003771600
Michael McCaul,Republican,House,TX,CAFFEINATED CAPITAL 2023 ALLOCATE ACCESS FUND LP,N/A,22 Mar,13 Feb 2024,36,Spouse,BUY,1K–15K,N/A,20003771601
Michael McCaul,Republican,House,TX,US TREASURY BILLS,N/A,22 Mar,28 Feb 2024,21,Spouse,BUY,1K–15K,N/A,20003771602
Michael McCaul,Republican,House,TX,US TREASURY BILLS,N/A,22 Mar,2 Feb 2024,47,Spouse,BUY,1K–15K,N/A,20003771603
