Politician,Ticker,Annualized Percentage Profit,Purchase Transaction IDs,Sell Transaction IDs,Total Purchase Amount,Total Sell Amount,Last Save ID,Last Sale ID,Transaction ID,Reporting Gap
Abigail Spanberger,LHX,-13.496921114292373,[20003752255],[20003759781],8000.0,8000.0,20003759781,20003759781,20003759781,1
Alan Lowenthal,ADBE,53.15850818194191,[20001623515],"[20003708758, 20003708761]",500.0,16000.0,20003708761,20003708761,20003708761,10
Alan Lowenthal,ADSK,-22.39162353881784,[20001623517],"[20003715045, 20003715046]",8000.0,16000.0,20003715046,20003715046,20003715046,1
Alan Lowenthal,BKNG,9.835995987257755,"[20003680753, 20003680755, 20003680757]","[20003707109, 20003708759, 20003708762, 20003708764]",48500.0,56500.0,20003708764,20003708764,20003708764,10
Alan Lowenthal,CCK,-42.273518206928465,"[20003718277, 20003718278, 20003752227]","[20003755519, 20003755517]",24000.0,33000.0,20003755517,20003755517,20003755517,8
Alan Lowenthal,COIN,-154.01551904878664,[20002050814],[20002008283],8000.0,8000.0,20002008283,20002008283,20002008283,11
Alan Lowenthal,CRM,-63.20343108863295,[20003753925],"[20003758015, 20003758012]",8000.0,16000.0,20003758012,20003758012,20003758012,13
Alan Lowenthal,DECK,-71.92275985031017,"[20003670603, 20003670733, 20003670732, 20003670734, 20003699105, 20003707236]",[20003718279],72500.0,32500.0,20003718279,20003718279,20003718279,15
Alan Lowenthal,ECL,-58.610077140888784,"[20003750481, 20003750482]","[20003755764, 20003755762]",16000.0,16000.0,20003755762,20003755762,20003755762,9
Alan Lowenthal,HCA,-74.77781030919475,"[20003718281, 20003718280]",[20003749086],16000.0,8000.0,20003749086,20003749086,20003749086,54
Alan Lowenthal,JBI,-86.71871000325463,"[20003708945, 20003710208]","[20003718350, 20003720048, 20003720047]",16000.0,24000.0,20003720047,20003720047,20003720047,16
Alan Lowenthal,KRE,-37.73349145226015,"[20001623513, 20001623514, 20001623518]","[20002566822, 20002474290, 20002474292]",48500.0,48500.0,20002474292,20002474292,20002474292,7
Alan Lowenthal,LZ,-171.13514270121743,"[20003673135, 20003673136]",[20003707851],16000.0,8000.0,20003707851,20003707851,20003707851,17
Alan Lowenthal,NFLX,-24.219281563361353,[20001625789],"[20003715050, 20003715043, 20003715039]",8000.0,48500.0,20003715039,20003715039,20003715039,17
Alan Lowenthal,NVDA,83.52616826798365,[20001625791],[20003720133],8000.0,8000.0,20003720133,20003720133,20003720133,6
Alan Lowenthal,PSQ,89.73282036366655,"[20003710323, 20003710321, 20003710319]","[20003715047, 20003715044, 20003715040]",48500.0,48500.0,20003715040,20003715040,20003715040,8
Alan Lowenthal,SCI,50.36604382536577,[20001642654],"[20003707711, 20003707712, 20003707713, 20003707714]",8000.0,32000.0,20003707714,20003707714,20003707714,8
Alan Lowenthal,SPGI,-14.47220105179335,"[20001663516, 20001663520, 20001663517, 20001663521, 20003713290]",[20003749020],64500.0,8000.0,20003749020,20003749020,20003749020,18
Alan Lowenthal,TMUS,11.888832284946208,"[20003680759, 20003710207, 20003723744]","[20003755765, 20003755763, 20003756303]",48500.0,24000.0,20003756303,20003756303,20003756303,19
Alan Lowenthal,UBER,-54.3336072002104,"[20002474293, 20003710210]",[20003749185],16000.0,8000.0,20003749185,20003749185,20003749185,7
Andrew Garbarino,ORMP,87.12925910853924,[20001643343],"[20003707002, 20003710129]",8000.0,16000.0,20003710129,20003710129,20003710129,0
Andrew Garbarino,OSW,2.4329571087529054,[20001643342],[20003707001],8000.0,8000.0,20003707001,20003707001,20003707001,33
Angus King,ADBE,-29.002833247967942,[10000053741],[10000060605],8000.0,8000.0,10000060605,10000060605,10000060605,30
Austin Scott,BE,78.3564318470934,[20003699114],[20003701866],8000.0,8000.0,20003701866,20003701866,20003701866,0
Austin Scott,CLNE,780.3875167430858,[20001851038],[20001851039],8000.0,8000.0,20001851039,20001851039,20001851039,16
Austin Scott,CLNE,-57.959287710865986,"[20001851040, 20003670948]",[20003701867],16000.0,8000.0,20003701867,20003701867,20003701867,0
Austin Scott,FCEL,-134.64271998557126,"[20001625692, 20003670949]",[20003670936],40500.0,8000.0,20003670936,20003670936,20003670936,28
Austin Scott,KPLT,-29.13108012750326,"[20003670937, 20003670938, 20003670939, 20003670942, 20003670940, 20003670941]","[20003699116, 20003699117, 20003701868]",72500.0,24000.0,20003701868,20003701868,20003701868,0
Austin Scott,NVVE,85.88230759651599,"[20001642993, 20001642995]",[20001642992],16000.0,8000.0,20001642992,20001642992,20001642992,14
Austin Scott,NVVE,630.7260086363491,[20001851041],[20001851042],8000.0,8000.0,20001851042,20001851042,20001851042,16
Austin Scott,NVVE,293.20453499109414,"[20003670943, 20003670946]","[20003670944, 20003670945]",16000.0,16000.0,20003670945,20003670945,20003670945,0
Austin Scott,PLUG,-75.01483218496585,"[20001625694, 20001625695]","[20001642994, 20003670947]",40500.0,16000.0,20003670947,20003670947,20003670947,28
Bill Keating,ADBE,-31.198460499868645,[20002751779],[20003756297],8000.0,8000.0,20003756297,20003756297,20003756297,12
Bill Keating,BA,-4.666465482639289,"[20001637721, 20001637720, 20003770306]","[20003771581, 20003771582]",48500.0,40500.0,20003771582,20003771582,20003771582,13
Bill Keating,BAX,-21.832962116991386,"[20001637715, 20001637716]",[20003758007],16000.0,8000.0,20003758007,20003758007,20003758007,16
Bill Keating,BKNG,-3.6477596759661894,[20001637722],[20003758597],8000.0,8000.0,20003758597,20003758597,20003758597,12
Bill Keating,CAT,6.535107268044784,[20001637725],[20003767492],8000.0,500.0,20003767492,20003767492,20003767492,7
Bill Keating,CCI,11.098495521934735,[20001637730],[20003721170],8000.0,8000.0,20003721170,20003721170,20003721170,37
Bill Keating,COF,-2.0203754277990447,"[20001637724, 20003758008]",[20003765471],16000.0,8000.0,20003765471,20003765471,20003765471,19
Bill Keating,CVS,-1.3709472721998783,[20001637731],[20003764502],8000.0,8000.0,20003764502,20003764502,20003764502,7
Bill Keating,CVX,-45.37102111952348,[20001637728],[20001637727],8000.0,8000.0,20001637727,20001637727,20001637727,13
Bill Keating,EA,2.1345024252028204,[20001637732],[20003765647],8000.0,8000.0,20003765647,20003765647,20003765647,11
Bill Keating,FI,-17.37428970868705,[20001637734],[20003714213],8000.0,8000.0,20003714213,20003714213,20003714213,31
Bill Keating,MDT,-5.046634230211933,[20001637743],[20003721171],8000.0,8000.0,20003721171,20003721171,20003721171,37
Bill Keating,MS,5.127633998507501,[20001637748],[20003756298],32500.0,32500.0,20003756298,20003756298,20003756298,17
Bill Keating,NFLX,-60.08527563292059,[20001637749],[20003749010],32500.0,32500.0,20003749010,20003749010,20003749010,29
Bill Keating,ORCL,-5.374041300373149,[20001671207],[20003755511],32500.0,32500.0,20003755511,20003755511,20003755511,45
Bill Keating,ROST,-16.457785795812597,[20001637756],[20003755512],8000.0,8000.0,20003755512,20003755512,20003755512,51
Bill Keating,SU,-103.07570177465972,[20001637758],[20001637759],8000.0,8000.0,20001637759,20001637759,20001637759,13
Bill Keating,T,-9.927671489002002,[20001671204],[20003770448],32500.0,32500.0,20003770448,20003770448,20003770448,18
Bill Keating,URI,38.317784893858295,[20001637760],[20003771585],8000.0,8000.0,20003771585,20003771585,20003771585,13
Bill Keating,VLO,46.582156687798864,[20001671208],[20001671209],32500.0,32500.0,20001671209,20001671209,20001671209,5
